"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Chemical and Biomedical Imaging";1;"22.0%
260/333
Radiology, Nuclear Medicine and Imaging";75;74;51;"N/A";"N/A";"American Chemical Society"
"Giornale Italiano di Medicina del Lavoro ed Ergonomia";0,8;"18.0%
542/665
Public Health, Environmental and Occupational Health";75;96;36;0,068;0,145;"Tipografia PI-ME Editrice Srl"
"Compensation and Benefits Review";1,5;"36.0%
121/189
Business, Management and Accounting (miscellaneous)";75;51;53;0,223;0,231;"SAGE"
"Insight on Africa";1,8;"93.0%
113/1760
History";75;42;52;0,873;0,217;"SAGE"
"Social History";1,1;"86.0%
240/1760
History";75;70;54;"N/A";0,166;"Taylor & Francis"
"Democracy and Security";1,2;"52.0%
337/706
Political Science and International Relations";75;61;49;"N/A";0,166;"Taylor & Francis"
"Journal of Visual Literacy";1,3;"90.0%
63/667
Visual Arts and Performing Arts";75;58;47;0,527;0,284;"Taylor & Francis"
"Urban Morphology";1,5;"81.0%
77/413
Archeology (arts and humanities)";75;49;43;0,689;0,224;"International Seminar on Urban Form"
"Israel Studies";0,6;"70.0%
516/1760
History";75;123;36;0,762;0,193;"Indiana University Press"
"Indian Journal of Neurosurgery";0,4;"15.0%
465/551
Surgery";75;193;29;0,21;"N/A";"Thieme"
"Shinrigaku Kenkyu";0,4;"6.0%
203/216
General Psychology";75;192;24;0,291;0,146;"Japanese Psychological Association"
"Zeitschrift fur Auslandisches Offentliches Recht und Volkerrecht";0,8;"43.0%
579/1025
Law";75;100;37;0,525;0,246;"Nomos Verlagsgesellschaft mbH and Co. KG"
"DLSU Business and Economics Review";0,8;"27.0%
209/288
General Economics, Econometrics and Finance";75;90;37;0,478;0,172;"De la Salle University"
"Studies in Language Variation";1;"69.0%
332/1088
Language and Linguistics";75;72;57;1,164;0,141;"John Benjamins Publishing Company"
"Cave and Karst Science";1;"24.0%
136/179
Earth-Surface Processes";75;77;39;0,175;0,147;"British Cave Research Association"
"International Journal of Islamic Thought";0,7;"72.0%
48/173
General Arts and Humanities";75;103;45;0,859;0,21;"Universiti Kebangsaan Malaysia Press"
"Philippine Studies: Historical and Ethnographic Viewpoints";1;"85.0%
261/1760
History";75;73;41;0,764;0,139;"Ateneo de Manila University"
"Econ Journal Watch";1;"20.0%
569/716
Economics and Econometrics";75;75;49;0,575;0,189;"Institute of Spontaneous Order Economics"
"Universitas Psychologica";1;"20.0%
172/216
General Psychology";75;77;40;0,193;0,16;"Pontificia Universidad Javeriana"
"American Indian and Alaska Native Mental Health Research";1,4;"91.0%
151/1760
History";75;52;56;0,669;0,377;"University Press of Colorado"
"Journal of the Anatomical Society of India";0,4;"21.0%
38/48
Anatomy";75;189;24;0,265;0,164;"Anatomical Society of India"
"Diritto and Questioni Pubbliche";0,5;"33.0%
676/1025
Law";75;150;29;0,713;0,139;"Universita di Palermo"
"Revista Colombiana de Entomologia";0,9;"16.0%
152/181
Insect Science";75;87;46;0,531;0,221;"Sociedad Colombiana de Entomologia"
"International Journal of Mobile Human Computer Interaction";4,7;"46.0%
78/145
Human-Computer Interaction";75;16;63;0,82;0,301;"IGI Global Publishing"
"Recerca";1,1;"76.0%
191/806
Philosophy";75;67;54;0,375;0,201;"Universitat Jaume I"
"International Journal of Mobile Computing and Multimedia Communications";1,4;"19.0%
317/395
Computer Networks and Communications";75;54;61;0,187;0,187;"IGI Global Publishing"
"Japanese Journal of Mathematics";3,9;"89.0%
41/399
General Mathematics";75;19;79;2,383;0,715;"Springer Nature"
"Current Problems in Cancer: Case Reports";0,4;"11.0%
359/404
Oncology";75;213;16;0,09;0,162;"Elsevier"
"Droit et Societe";0,7;"41.0%
602/1025
Law";75;109;35;0,532;0,115;"Editions Juridiques Associees"
"Asia Pacific Journal of Educators and Education";0,8;"22.0%
1193/1543
Education";75;92;33;0,26;0,178;"Penerbit Universiti Sains Malaysia"
"Unity and Dialogue";0,6;"72.0%
179/644
Religious Studies";75;118;33;0,89;0,224;"Faculty of Theology, University of Ljubljana"
"Scientia Medica";0,7;"34.0%
415/636
General Medicine";75;115;30;0,128;0,154;"Faculdade de Medicina : Hospital Sao Lucas da PUCRS"
"AAS Open Research";2,9;"75.0%
42/171
";75;26;77;0,497;0,33;"Taylor & Francis"
"Applied Econometrics";0,7;"26.0%
178/242
Economics, Econometrics and Finance (miscellaneous)";75;109;33;0,477;0,174;"Russian Presidential Academy of National Economy and Public Administration"
"FGF Studies in Small Business and Entrepreneurship";0,9;"18.0%
585/716
Economics and Econometrics";75;82;38;"N/A";"N/A";"Springer Nature"
"Biotechnology Notes";1,7;"26.0%
228/311
Biotechnology";75;45;44;0,508;0,272;"KeAi Communications Co."
"Chemistry Journal of Moldova";0,9;"18.0%
60/73
Process Chemistry and Technology";75;82;39;0,094;0,133;"Institute of Chemistry, Academy of Sciences of Moldova"
"Chemistry, Didactics, Ecology, Metrology";1,5;"40.0%
916/1543
Education";75;50;64;0,526;0,223;"Walter de Gruyter"
"New Zealand Journal of Physiotherapy";1,3;"32.0%
168/247
Physical Therapy, Sports Therapy and Rehabilitation";75;59;37;0,414;0,339;"Physiotherapy New Zealand"
"Methods and Objects of Chemical Analysis";1;"15.0%
133/156
Analytical Chemistry";75;72;36;0,465;0,173;"Taras Shevchenko National University of Kyiv"
"Bulletin of the Iraq Natural History Museum";0,9;"22.0%
249/321
Geology";75;84;42;0,613;0,254;"University of Baghdad - Iraq Natural History Reseach Center and Museum"
"Russian Journal of Pediatric Hematology and Oncology";0,4;"14.0%
284/330
Pediatrics, Perinatology and Child Health";75;206;22;0,182;0,122;"Graphica Ltd"
"Caspian Journal of Neurological Sciences";0,6;"13.0%
345/400
Neurology (clinical)";75;119;31;0,12;0,133;"Guilan University of Medical Sciences"
"Ocean and Polar Research";0,8;"20.0%
84/105
Ocean Engineering";75;96;40;0,222;0,192;"Korea Institute of Ocean Science and Technology"
"Economic Horizons";1;"35.0%
187/288
General Economics, Econometrics and Finance";75;73;47;0,277;0,166;"University of Kragujevac - Faculty of Economics"
"Clinical and Experimental Morphology";0,6;"18.0%
171/208
Pathology and Forensic Medicine";75;124;38;0,124;0,126;"MDV Group"
