"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Congenital Heart Disease";0,4;"18.0%
451/551
Surgery";90;210;29;0,235;0,171;"Tech Science Press"
"Psicoterapia e Scienze Umane";0,6;"14.0%
265/311
Clinical Psychology";90;162;27;0,588;0,189;"Franco Angeli Edizioni"
"Mathematical Modelling and Control";1,2;"25.0%
473/635
Applied Mathematics";90;77;36;0,513;0,234;"American Institute of Mathematical Sciences"
"Journal of Urban Regeneration and Renewal";0,8;"37.0%
175/279
Urban Studies";90;116;33;0,355;0,174;"Henry Stewart Publications"
"Asian Journal of Anesthesiology";1;"31.0%
94/136
Anesthesiology and Pain Medicine";90;89;38;"N/A";0,176;"Taiwan Society of Anesthesiologists"
"Nous-Supplement: Philosophical Perspectives";1,5;"81.0%
152/806
Philosophy";90;61;43;1,167;1,473;"John Wiley & Sons"
"Isegoria";0,5;"55.0%
359/806
Philosophy";90;178;24;1,121;0,174;"CSIC Consejo Superior de Investigaciones Cientificas"
"Educational and Child Psychology";1,2;"21.0%
284/360
Developmental and Educational Psychology";90;76;55;0,449;0,177;"The British Psychological Society"
"Performance Measurement and Metrics";2,2;"65.0%
96/280
Library and Information Sciences";90;41;56;0,758;0,323;"Emerald Publishing"
"Perspectives on Global Development and Technology";0,8;"37.0%
378/604
Social Sciences (miscellaneous)";90;109;39;0,26;0,202;"Brill"
"Journal of Ship Production and Design";1,1;"27.0%
77/105
Ocean Engineering";90;79;52;0,494;0,208;"Society of Naval Architects and Marine Engineers"
"Bulletin of Spanish Studies";0,4;"71.0%
314/1106
Literature and Literary Theory";90;232;22;"N/A";0,137;"Taylor & Francis"
"Poradnik Jezykowy";0,3;"35.0%
705/1088
Language and Linguistics";90;294;20;0,474;0,188;"Behavioral Neuropsychiatry"
"Wood and Fiber Science";7,5;"90.0%
17/174
Forestry";90;12;83;0,698;0,182;"Society of Wood Science and Technology"
"BELGEO";0,7;"20.0%
656/821
Geography, Planning and Development";90;123;35;0,359;0,125;"Societe Royale Belge de Geographie"
"International Journal of Dynamical Systems and Differential Equations";0,8;"24.0%
70/92
Discrete Mathematics and Combinatorics";90;114;31;0,439;0,198;"Inderscience Publishers"
"International Journal of Powertrains";1,2;"28.0%
90/125
Automotive Engineering";90;77;32;0,202;0,191;"Inderscience Publishers"
"Annales";0,4;"55.0%
775/1760
History";90;225;16;0,679;0,102;"Armand Colin Paris"
"Religion Compass";1;"86.0%
88/644
Religious Studies";90;89;51;0,533;0,14;"John Wiley & Sons"
"Revue d'Economie Politique";0,8;"37.0%
442/706
Political Science and International Relations";90;115;39;0,378;0,239;"Editions Dalloz Sirey"
"Buffalo Law Review";0,8;"46.0%
552/1025
Law";90;109;38;0,44;0,246;"State University of New York at Buffalo Law School"
"Citizenship Teaching and Learning";1;"45.0%
151/275
General Social Sciences";90;87;56;0,564;0,232;"Intellect Publishers"
"Journal of Popular Music Education";1,1;"88.0%
75/667
Visual Arts and Performing Arts";90;84;35;0,678;"N/A";"Intellect Publishers"
"Turyzm/Tourism";0,8;"38.0%
901/1466
Sociology and Political Science";90;111;34;0,279;0,161;"Lodz University Press"
"Jahresbericht der Deutschen Mathematiker-Vereinigung";4,1;"90.0%
37/399
General Mathematics";90;22;73;1,471;1,077;"Springer Nature"
"Journal of WSCG";0,8;"18.0%
87/106
Computer Graphics and Computer-Aided Design";90;110;38;0,142;0,148;"Vaclav Skala Union Agency"
"SAE International Journal of Passenger Vehicle Systems";1,3;"34.0%
137/207
Safety, Risk, Reliability and Quality";90;69;41;0,526;0,208;"SAE"
"Progress in Probability";1;"38.0%
56/90
Mathematics (miscellaneous)";90;93;41;"N/A";"N/A";"Springer Nature"
"Lasers in Dental Science";0,8;"50.0%
22/43
Dentistry (miscellaneous)";90;111;46;0,284;0,204;"Springer Nature"
"Acta Pediatrica de Mexico";0,5;"19.0%
265/330
Pediatrics, Perinatology and Child Health";90;168;23;0,23;0,116;"Sistema Nacional Para El Desarrollo Integral De La Familia"
"Italian Journal of Sociology of Education";0,8;"37.0%
378/604
Social Sciences (miscellaneous)";90;109;46;0,306;0,186;"Padova University Press"
"Italian Journal of Mycology";2,5;"52.0%
245/516
Plant Science";90;36;56;0,899;0,275;"University of Bologna"
"Chinese Journal of Health Management";0,2;"16.0%
47/56
Family Practice";90;566;12;0,061;0,111;"Chinese Medical Journals Publishing House Co.Ltd"
"Chinese Journal of Digestive Endoscopy";0,1;"4.0%
160/167
Gastroenterology";90;725;10;0,036;0,106;"Chinese Medical Journals Publishing House Co.Ltd"
"New Armenian Medical Journal";0,4;"23.0%
486/636
General Medicine";90;227;20;0,106;0,117;"Yerevan State Medical University"
"Akademik Gida";0,5;"8.0%
355/389
Food Science";90;177;31;0,301;0,149;"Sidas Medya A.S."
"Folia Malacologica";0,9;"20.0%
168/211
Nature and Landscape Conservation";90;101;37;0,373;0,186;"Association of Polish Malacologists"
"Ribarstvo, Croatian Journal of Fisheries";1,1;"23.0%
355/461
Ecology";90;85;47;0,339;0,212;"Walter de Gruyter"
"International Journal of Data Mining, Modelling and Management";1,1;"16.0%
110/131
Management Information Systems";90;79;46;0,216;0,17;"Inderscience Publishers"
"Journal of Korean Academy of Psychiatric and Mental Health Nursing";0,6;"13.0%
323/371
Health (social science)";90;157;32;0,275;0,156;"Korean Academy of Psychiatric and Mental Health Nursing"
"Fundamental Theories of Physics";0,4;"6.0%
228/243
General Physics and Astronomy";90;224;16;"N/A";"N/A";"Springer Nature"
"Geographische Zeitschrift";1,6;"41.0%
479/821
Geography, Planning and Development";90;58;50;0,447;0,241;"Franz Steiner Verlag"
"Asthma Allergy Immunology";0,8;"13.0%
202/233
Immunology and Allergy";90;117;59;0,124;0,135;"Turkish National Society of Allergy and Clinical Immunology"
"Mathematical Logic Quarterly";0,6;"15.0%
35/41
Logic";91;152;32;0,758;0,447;"John Wiley & Sons"
