"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Hormones and Behavior";6,7;"78.0%
19/88
Behavioral Neuroscience";3448;516;84;0,822;0,936;"Elsevier"
"Earth Systems and Environment";15,5;"99.0%
2/321
Geology";3450;222;91;2,018;1,521;"Springer Nature"
"Fungal Diversity";44,8;"99.0%
1/461
Ecology";3450;77;95;6,775;6,787;"Springer Nature"
"Journal of the Association for Information Science and Technology";8,3;"91.0%
23/280
Library and Information Sciences";3454;417;84;1,915;1,06;"John Wiley & Sons"
"Estuaries and Coasts";5,6;"83.0%
42/247
Aquatic Science";3455;613;83;0,911;0,841;"Springer Nature"
"Science and Engineering Ethics";10,7;"96.0%
2/46
Issues, Ethics and Legal Aspects";3456;322;82;1,961;1,194;"Springer Nature"
"IEEE Transactions on Cognitive and Developmental Systems";7,2;"74.0%
103/407
Software";3458;481;85;1,433;1,302;"IEEE"
"Environmental Engineering Research";7,5;"76.0%
46/197
Environmental Engineering";3461;459;87;1,087;0,679;"Korean Society of Environmental Engineers"
"Frontiers of Physics";9,2;"94.0%
5/81
Physics and Astronomy (miscellaneous)";3461;375;82;1,277;1,031;"Higher Education Press"
"Geotechnique";9,8;"95.0%
8/159
Earth and Planetary Sciences (miscellaneous)";3462;353;94;2,301;1,791;"ICE Publishing Ltd."
"European Journal of Innovation Management";10,4;"86.0%
40/289
Management of Technology and Innovation";3464;333;90;1,766;1,225;"Emerald Publishing"
"BMC Medical Imaging";4,6;"65.0%
114/333
Radiology, Nuclear Medicine and Imaging";3464;754;71;1,157;0,701;"Springer Nature"
"New Microbes and New Infections";10;"87.0%
44/344
Infectious Diseases";3465;347;87;0,859;0,606;"Elsevier"
"European Journal of Plant Pathology";4,2;"80.0%
23/115
Horticulture";3465;828;80;0,772;0,452;"Springer Nature"
"npj Clean Water";15,3;"97.0%
6/261
Water Science and Technology";3467;226;87;2,277;1,512;"Springer Nature"
"Yantu Gongcheng Xuebao/Chinese Journal of Geotechnical Engineering";2,5;"49.0%
117/229
Geotechnical Engineering and Engineering Geology";3468;1398;63;0,872;0,51;"Chinese Society of Civil Engineering"
"Environment and Planning B: Urban Analytics and City Science";6,1;"94.0%
11/189
Architecture";3471;565;86;1,158;0,929;"SAGE"
"Dizhi Xuebao/Acta Geologica Sinica";3,3;"66.0%
108/321
Geology";3472;1053;66;0,832;0,558;"Geological Society of China"
"Environments - MDPI";5,7;"82.0%
124/721
Ecology, Evolution, Behavior and Systematics";3472;610;72;0,958;0,744;"Multidisciplinary Digital Publishing Institute (MDPI)"
"Acta Biochimica et Biophysica Sinica";5;"61.0%
59/152
Biophysics";3473;701;74;0,557;0,739;"Science China Press"
"Software - Practice and Experience";8;"79.0%
84/407
Software";3474;434;80;1,131;0,816;"John Wiley & Sons"
"Journal of Thermal Spray Technology";5,2;"70.0%
130/434
Condensed Matter Physics";3474;663;78;1,121;0,608;"Springer Nature"
"Anais da Academia Brasileira de Ciencias";2,2;"70.0%
51/171
";3475;1568;58;0,544;0,316;"Academia Brasileira de Ciencias"
"Cardiovascular Revascularization Medicine";3,3;"51.0%
188/387
Cardiology and Cardiovascular Medicine";3475;1053;70;0,597;0,493;"Elsevier"
"Cancer Biology and Medicine";9,8;"84.0%
64/404
Oncology";3476;355;86;1,084;1,575;"Cancer Biology and Medicine"
