"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"GEM - International Journal on Geomathematics";3,5;"66.0%
65/195
General Earth and Planetary Sciences";360;102;63;0,584;0,324;"Springer Nature"
"Journal of VitreoRetinal Diseases";1,2;"31.0%
94/137
Ophthalmology";360;308;40;0,319;0,341;"SAGE"
"Journal of Corporate Real Estate";5,6;"79.0%
64/317
Finance";360;64;78;1,194;0,528;"Emerald Publishing"
"Documenta Mathematica";1,6;"59.0%
163/399
General Mathematics";360;225;53;1,256;1,187;"European Mathematical Society Publishing House"
"International Eye Science";0,2;"8.0%
126/137
Ophthalmology";360;1774;15;0,066;0,118;"Press of International Journal of Ophthalmology"
"Giornale Italiano di Psicologia";1,2;"26.0%
160/216
General Psychology";360;289;54;0,088;0,118;"Societa Editrice Il Mulino"
"Diagnostic Histopathology";1,3;"28.0%
150/208
Pathology and Forensic Medicine";360;286;35;0,357;0,221;"Elsevier"
"Progress in Physics of Metals";4;"70.0%
53/176
Metals and Alloys";360;91;73;1,187;0,418;"G.V. Kurdyumov Institute for Metal Physics of N.A.S. of Ukraine"
"Publishing Research Quarterly";2,2;"64.0%
184/511
Communication";360;165;51;0,822;0,346;"Springer Nature"
"Digital Humanities Quarterly";1,4;"88.0%
21/173
General Arts and Humanities";360;264;46;1,044;0,327;"Alliance of Digital Humanities Organisations"
"Annales Fennici Mathematici";1,8;"66.0%
135/399
General Mathematics";360;204;60;1,073;0,862;"Finnish Mathematical Society"
"Shiraz E Medical Journal";1;"44.0%
356/636
General Medicine";360;364;44;0,293;0,199;"Brieflands"
"Journal of Experimental Psychology: Animal Learning and Cognition";2,9;"56.0%
312/721
Ecology, Evolution, Behavior and Systematics";361;125;72;0,774;0,662;"American Psychological Association"
"Journal on Migration and Human Security";5,2;"88.0%
17/139
Demography";361;69;86;1,985;0,848;"SAGE"
"Lymphology";5,2;"66.0%
47/137
Hematology";361;69;52;1,161;0,546;"International Society of Lymphology"
"Vestnik Otorinolaringologii";0,8;"34.0%
81/123
Otorhinolaryngology";361;437;38;0,466;0,207;"Media Sphera Publishing Group"
"Journal of Manual and Manipulative Therapy";2,5;"52.0%
118/247
Physical Therapy, Sports Therapy and Rehabilitation";361;145;65;0,807;0,376;"Taylor & Francis"
"Problemy sotsial'noi gigieny i istoriia meditsiny / NII sotsial'noi gigieny, ekonomiki i upravleniia zdravookhraneniem im. N.A. Semashko RAMN, AO 'Assotsiatsiia 'Meditsinskaia literatura'";0,4;"23.0%
484/636
General Medicine";361;905;23;"N/A";0,119;"Meditsina Publishers"
"Journal of International Oral Health";1;"26.0%
98/132
General Dentistry";361;354;46;0,37;0,197;"Wolters Kluwer Health"
"Clinical Medicine Insights: Endocrinology and Diabetes";4,3;"58.0%
70/167
Internal Medicine";361;84;63;0,918;0,724;"SAGE"
"Communications of the Korean Mathematical Society";1,1;"37.0%
249/399
General Mathematics";361;342;38;0,855;0,305;"Korean Mathematical Society"
