"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"American Journal of Pathology";11,4;"95.0%
9/208
Pathology and Forensic Medicine";7518;659;86;1,135;1,647;"Elsevier"
"Cognition";6,4;"97.0%
31/1088
Language and Linguistics";7519;1167;81;1,6;1,59;"Elsevier"
"Organic Electronics";6,6;"80.0%
86/434
Condensed Matter Physics";7519;1141;87;0,577;0,648;"Elsevier"
"Oral Diseases";7,6;"97.0%
4/123
Otorhinolaryngology";7534;987;89;1,362;0,895;"John Wiley & Sons"
"Catalysis Letters";5,7;"68.0%
130/408
General Chemistry";7535;1329;87;0,616;0,528;"Springer Nature"
"Progress in Energy and Combustion Science";59,3;"99.0%
1/273
General Chemical Engineering";7536;127;98;7,566;6,114;"Elsevier"
"BMC Pulmonary Medicine";4,4;"58.0%
65/155
Pulmonary and Respiratory Medicine";7545;1705;71;0,889;0,773;"Springer Nature"
"IEEE Journal on Selected Topics in Signal Processing";19;"97.0%
23/797
Electrical and Electronic Engineering";7546;397;97;3,003;3,818;"IEEE"
"Nanoscale Research Letters";15;"96.0%
14/434
Condensed Matter Physics";7548;504;93;1,568;1,016;"Springer Nature"
"Transfusion";4,7;"60.0%
54/137
Hematology";7549;1606;68;1,001;1,033;"John Wiley & Sons"
"Socio-Economic Planning Sciences";9,4;"95.0%
8/168
Statistics, Probability and Uncertainty";7560;803;80;1,614;1,315;"Elsevier"
"Journal of Construction Engineering and Management";8,7;"92.0%
5/60
Industrial Relations";7562;874;82;1,556;1,071;"American Society of Civil Engineers"
"BMC Veterinary Research";4,8;"91.0%
17/194
General Veterinary";7562;1577;76;0,925;0,658;"Springer Nature"
"Drones";5,6;"80.0%
30/153
Aerospace Engineering";7566;1349;74;1,509;0,76;"Multidisciplinary Digital Publishing Institute (MDPI)"
"Journal of Cardiothoracic and Vascular Anesthesia";4,8;"72.0%
38/136
Anesthesiology and Pain Medicine";7567;1577;74;0,823;0,744;"Elsevier"
"Shock and Vibration";3,4;"58.0%
95/229
Geotechnical Engineering and Engineering Geology";7573;2196;77;0,598;0,368;"John Wiley & Sons"
"Telematics and Informatics";17;"99.0%
1/1025
Law";7573;446;88;2,426;1,827;"Elsevier"
"Progress in Nuclear Energy";5,3;"83.0%
13/77
Nuclear Energy and Engineering";7574;1420;72;1,288;0,785;"Elsevier"
"Tourism Management Perspectives";15,6;"91.0%
13/146
Tourism, Leisure and Hospitality Management";7575;487;85;2,298;1,971;"Elsevier"
"Trends in Neurosciences";26,5;"97.0%
3/113
General Neuroscience";7581;286;94;3,415;4,891;"Elsevier"
"Journal of the Optical Society of America B: Optical Physics";4;"68.0%
20/62
Statistical and Nonlinear Physics";7583;1900;72;0,727;0,504;"Optica Publishing Group (formerly OSA)"
"Journal of Modern Power Systems and Clean Energy";12,3;"91.0%
24/272
Energy Engineering and Power Technology";7584;616;89;2,023;2,278;"State Grid Electric Power Research Institute Nanjing Branch"
"International Review of Economics and Finance";7,3;"87.0%
39/317
Finance";7587;1034;77;1,561;1,093;"Elsevier"
"G3: Genes, Genomes, Genetics";5,1;"52.0%
48/99
Genetics (clinical)";7588;1499;77;0,696;0,936;"Genetics Society of America"
"Journal of Global Antimicrobial Resistance";8,7;"79.0%
29/140
Microbiology (medical)";7588;876;85;1,054;0,88;"Elsevier"
"Microbial Biotechnology";11,2;"90.0%
13/127
Applied Microbiology and Biotechnology";7589;676;88;1,124;1,185;"John Wiley & Sons"
"Thrombosis and Haemostasis";11,9;"87.0%
18/137
Hematology";7589;637;87;0,984;1,248;"Thieme"
"Progress in Photovoltaics: Research and Applications";18,1;"98.0%
9/434
Condensed Matter Physics";7591;420;89;2,523;1,992;"John Wiley & Sons"
"Journal of Sleep Research";9;"92.0%
7/88
Behavioral Neuroscience";7592;840;89;1,325;1,411;"John Wiley & Sons"
"Ecological Applications";9,5;"91.0%
40/461
Ecology";7599;800;89;1,436;1,755;"John Wiley & Sons"
"IEEE Microwave and Wireless Technology Letters";6;"75.0%
105/434
Condensed Matter Physics";7606;1268;79;"N/A";"N/A";"IEEE"
"Synthesis (Germany)";4,5;"53.0%
99/211
Organic Chemistry";7606;1680;72;0,532;0,582;"Thieme"
"Trends in Chemistry";28;"97.0%
12/408
General Chemistry";7611;272;92;2,385;3,348;"Elsevier"
"Current Opinion in Green and Sustainable Chemistry";16;"97.0%
10/399
Management, Monitoring, Policy and Law";7613;475;95;1,557;1,619;"Elsevier"
"Molecular and Cellular Endocrinology";9;"82.0%
23/128
Endocrinology";7615;850;88;1,034;1,13;"Elsevier"
"International Journal of Refractory Metals and Hard Materials";7;"83.0%
114/672
Mechanical Engineering";7618;1082;81;1,387;0,872;"Elsevier"
"Endoscopy";5,8;"75.0%
42/167
Gastroenterology";7618;1304;47;2,266;1,422;"Thieme"
"British Food Journal";6,9;"87.0%
24/189
Business, Management and Accounting (miscellaneous)";7635;1107;83;1,044;0,795;"Emerald Publishing"
"Quaternary International";5,6;"82.0%
32/179
Earth-Surface Processes";7645;1364;91;0,921;0,666;"Elsevier"
"Patient Education and Counseling";5,6;"86.0%
84/636
General Medicine";7646;1358;79;1,303;1,037;"Elsevier"
"Journal of Gastrointestinal Surgery";5,5;"88.0%
65/551
Surgery";7652;1387;74;1,07;0,941;"Society for Surgery of the Alimentary Tract"
"Journal of Thrombosis and Thrombolysis";9,2;"86.0%
53/387
Cardiology and Cardiovascular Medicine";7655;836;81;0,801;0,744;"Springer Nature"
"Graefe's Archive for Clinical and Experimental Ophthalmology";5,4;"82.0%
24/137
Ophthalmology";7658;1419;80;1,171;1,014;"Springer Nature"
"Acta Tropica";5,4;"76.0%
19/79
Parasitology";7660;1418;82;0,871;0,708;"Elsevier"
"Brain Research";5,9;"71.0%
116/400
Neurology (clinical)";7662;1301;81;0,733;0,832;"Elsevier"
"Brain Communications";7;"79.0%
115/567
Psychiatry and Mental Health";7667;1095;80;1,091;1,773;"Oxford University Press"
"Dianli Zidonghua Shebei/Electric Power Automation Equipment";5,3;"70.0%
95/321
Control and Systems Engineering";7673;1456;79;1,109;0,746;"Electric Power Automation Equipment Press"
"Molecular Therapy Methods and Clinical Development";9,9;"87.0%
43/347
Genetics";7679;773;87;1,076;1,896;"Elsevier"
"Geocarto International";6,3;"86.0%
109/821
Geography, Planning and Development";7689;1229;83;0,836;0,675;"Taylor & Francis"
"ACS Medicinal Chemistry Letters";7,3;"79.0%
43/211
Organic Chemistry";7691;1054;80;0,816;0,883;"American Chemical Society"
"Conservation Biology";12,7;"97.0%
22/721
Ecology, Evolution, Behavior and Systematics";7692;608;88;1,989;2,168;"John Wiley & Sons"
"Journal of Travel Research";18,9;"99.0%
7/821
Geography, Planning and Development";7692;408;96;3,125;3,408;"SAGE"
"European Journal of Inorganic Chemistry";4,3;"58.0%
33/79
Inorganic Chemistry";7717;1778;78;0,543;0,481;"John Wiley & Sons"
"Globalization and Health";18,4;"99.0%
3/310
Health Policy";7720;420;82;2,285;2,668;"Springer Nature"
"Applied Biochemistry and Biotechnology";5,7;"59.0%
127/311
Biotechnology";7722;1363;83;0,724;0,548;"Springer Nature"
"BMC Gastroenterology";4,2;"51.0%
81/167
Gastroenterology";7729;1860;72;0,881;0,747;"Springer Nature"
"Journal of Applied Phycology";6,8;"89.0%
26/247
Aquatic Science";7745;1138;84;0,846;0,605;"Springer Nature"
"Journal of Animal Science";4,8;"86.0%
67/490
Animal Science and Zoology";7746;1616;73;1,028;0,764;"Oxford University Press"
"International Journal of Eating Disorders";10;"91.0%
50/567
Psychiatry and Mental Health";7751;774;82;1,672;1,71;"John Wiley & Sons"
"Journal of Advanced Transportation";5;"74.0%
180/716
Economics and Econometrics";7752;1562;78;0,84;0,582;"John Wiley & Sons"
"Journal of Clinical Periodontology";13,3;"93.0%
2/24
Periodontics";7753;582;91;2,663;2,249;"John Wiley & Sons"
"Journal of Animal Ecology";9,1;"97.0%
11/490
Animal Science and Zoology";7756;857;87;1,438;1,801;"John Wiley & Sons"
"GigaScience";15,5;"97.0%
4/138
Health Informatics";7761;501;79;2,643;4,621;"Oxford University Press"
"Computers and Mathematics with Applications";5,1;"79.0%
39/189
Computational Mathematics";7762;1513;70;1,312;0,949;"Elsevier"
"BMC Medical Research Methodology";6,5;"76.0%
35/148
Epidemiology";7765;1188;72;1,701;1,632;"Springer Nature"
"Annals of Clinical and Translational Neurology";9,1;"87.0%
52/400
Neurology (clinical)";7766;857;81;1,185;1,695;"John Wiley & Sons"
"Guangxue Xuebao/Acta Optica Sinica";2,8;"40.0%
134/224
Atomic and Molecular Physics, and Optics";7774;2729;67;0,831;0,334;"Chinese Optical Society"
"BMJ Open Diabetes Research and Care";9,3;"85.0%
35/244
Endocrinology, Diabetes and Metabolism";7775;839;89;1,26;1,479;"BMJ Publishing Group"
"International Journal of Medical Informatics";8,9;"82.0%
24/138
Health Informatics";7775;875;80;1,493;1,11;"Elsevier"
"Journal of Quantitative Spectroscopy and Radiative Transfer";5,3;"76.0%
14/58
Radiation";7775;1463;81;1,042;0,708;"Elsevier"
"Emerging Markets Finance and Trade";7,8;"96.0%
11/288
General Economics, Econometrics and Finance";7777;997;76;1,113;0,781;"Taylor & Francis"
"Behavior Research Methods";10,3;"98.0%
11/552
Arts and Humanities (miscellaneous)";7788;756;86;3,105;2,396;"Springer Nature"
"American Journal of Physiology - Cell Physiology";9,1;"83.0%
32/193
Physiology";7796;858;84;1,213;1,711;"American Physiological Society"
"International Journal of Communication Systems";5,9;"72.0%
218/797
Electrical and Electronic Engineering";7800;1327;80;0,864;0,524;"John Wiley & Sons"
"Proceedings of the ACM SIGMOD International Conference on Management of Data";10;"86.0%
55/407
Software";7802;780;85;1,881;2,64;
"International Journal of Control, Automation and Systems";5,8;"72.0%
88/321
Control and Systems Engineering";7810;1356;73;0,891;0,636;"Institute of Control, Robotics and Systems"
"Energy Strategy Reviews";12,8;"85.0%
12/78
Energy (miscellaneous)";7821;612;81;2,088;1,899;"Elsevier"
"Journal of Trauma and Acute Care Surgery";6;"91.0%
48/551
Surgery";7824;1302;77;1,636;1,317;"Wolters Kluwer Health"
"Neurobiology of Aging";8,4;"85.0%
58/400
Neurology (clinical)";7826;934;87;0,937;1,488;"Elsevier"
"BMC Biology";7,8;"90.0%
21/221
General Agricultural and Biological Sciences";7829;1005;80;1,211;1,787;"Springer Nature"
"JAMA Ophthalmology";13,2;"98.0%
3/137
Ophthalmology";7839;592;77;2,5;2,553;"American Medical Association"
"Photonics";2,6;"43.0%
190/333
Radiology, Nuclear Medicine and Imaging";7840;3069;62;0,787;0,457;"Multidisciplinary Digital Publishing Institute (MDPI)"
"Journal of Neurochemistry";9,3;"84.0%
70/438
Biochemistry";7852;844;86;1,01;1,476;"John Wiley & Sons"
"Heat Transfer";6,3;"77.0%
97/434
Condensed Matter Physics";7855;1252;79;0,865;0,522;"John Wiley & Sons"
"Proceedings - International Conference on Pattern Recognition";3,7;"50.0%
53/106
Computer Vision and Pattern Recognition";7858;2125;68;0,755;0,584;"IEEE"
"Human Molecular Genetics";6,9;"74.0%
26/99
Genetics (clinical)";7859;1134;88;0,889;1,602;"Oxford University Press"
"Journal of Endocrinological Investigation";8,7;"84.0%
39/244
Endocrinology, Diabetes and Metabolism";7862;899;87;1,175;1,067;"Springer Nature"
