"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Real Analysis Exchange";0,4;"6.0%
180/193
Analysis";36;100;24;0,357;0,156;"Michigan State University Press"
"Ceskoslovenska Patologie";0,4;"25.0%
477/636
General Medicine";36;85;22;"N/A";0,131;"Czech Medical Association J.E. Purkyne"
"Journal of Policy History";0,5;"24.0%
1108/1466
Sociology and Political Science";36;73;30;0,458;0,132;"Cambridge University Press"
"Mathematical Reports";0,2;"3.0%
186/193
Analysis";36;156;17;0,218;0,125;"Publishing House of the Romanian Academy"
"Scottish Journal of Theology";0,4;"53.0%
301/644
Religious Studies";36;97;25;1,291;0,13;"Cambridge University Press"
"New Theatre Quarterly";0,3;"57.0%
282/667
Visual Arts and Performing Arts";36;103;20;0,376;0,157;"Cambridge University Press"
"Romanian Journal of Geography";0,6;"15.0%
692/821
Geography, Planning and Development";36;60;33;0,455;0,194;"Publishing House of the Romanian Academy"
"Black Theology";0,6;"68.0%
201/644
Religious Studies";36;65;34;0,903;0,16;"Taylor & Francis"
"Political Power and Social Theory";1;"44.0%
389/706
Political Science and International Relations";36;36;33;1,038;0,362;"Emerald Publishing"
"Advances in Environmental Accounting and Management";2,4;"63.0%
90/242
Economics, Econometrics and Finance (miscellaneous)";36;15;93;0,39;0,232;"Emerald Publishing"
"Research in the Sociology of Sport";0,5;"25.0%
1087/1466
Sociology and Political Science";36;68;35;"N/A";"N/A";"Emerald Publishing"
"Contemporary Perspectives in Family Research";0,4;"21.0%
1157/1466
Sociology and Political Science";36;82;24;"N/A";"N/A";"Emerald Publishing"
"Research Data Journal for the Humanities and Social Sciences";1;"80.0%
35/173
General Arts and Humanities";36;35;49;0,48;0,184;"Brill"
"Brill's Studies in Historical Linguistics";0,6;"56.0%
469/1088
Language and Linguistics";36;59;36;0,305;0,154;"Brill"
"Fascism";0,6;"71.0%
509/1760
History";36;58;34;0,878;0,159;"Brill"
"Quaerendo";0,7;"73.0%
459/1760
History";36;54;31;1,07;0,121;"Brill"
"Journal of Greek Linguistics";1,1;"70.0%
323/1088
Language and Linguistics";36;34;62;0,54;0,17;"Brill"
"Research in Phenomenology";0,4;"49.0%
409/806
Philosophy";36;88;26;0,638;0,114;"Brill"
"Middle East Journal of Culture and Communication";0,5;"51.0%
624/1304
Cultural Studies";36;72;24;0,394;0,135;"Brill"
"Ancient Civilizations from Scythia to Siberia";0,7;"86.0%
23/170
Classics";36;52;42;1,303;0,167;"Brill"
"International Human Rights Law Review";0,8;"46.0%
548/1025
Law";36;43;37;0,713;0,151;"Brill"
"Tijdschrift voor Entomologie";1,3;"35.0%
118/181
Insect Science";36;27;59;0,404;0,405;"Brill"
"Revista Chilena de Fonoaudiologia";0,6;"52.0%
553/1167
Linguistics and Language";36;60;42;0,202;0,158;"Universidad de Chile"
"Romani Studies";0,8;"66.0%
439/1304
Cultural Studies";36;48;52;0,446;0,132;"Liverpool University Press"
"Ethics and the Environment";0,9;"70.0%
237/806
Philosophy";36;41;41;0,358;0,162;"Indiana University Press"
"Journal of Folklore Research";0,6;"61.0%
69/180
Music";36;58;34;0,403;0,104;"Indiana University Press"
"Elenchos";0,4;"64.0%
61/170
Classics";36;93;28;0,328;0,136;"Walter de Gruyter"
"New Zealand Journal of Psychology";0,9;"18.0%
177/216
General Psychology";36;41;41;0,343;0,176;"New Zealand Psychological Society"
"American Political Thought";0,4;"22.0%
551/706
Political Science and International Relations";36;84;32;1,359;0,343;"University of Chicago Press"
"Journal of Ceramic Science and Technology";0,8;"16.0%
106/127
Ceramics and Composites";36;46;35;0,126;0,129;"Goeller Verlag GmbH"
"Hrvatski Geografski Glasnik";0,9;"25.0%
609/821
Geography, Planning and Development";36;39;41;0,438;0,187;"Croatian Geographical Society"
"Osteologie";0,3;"15.0%
541/636
General Medicine";36;136;17;0,075;0,117;"Thieme"
"Ibersid";0,6;"31.0%
193/280
Library and Information Sciences";36;64;20;1,038;0,175;"Universidad de Zaragoza"
"Geneesmiddelenbulletin";0,4;"11.0%
242/272
Pharmacology (medical)";36;84;26;0,102;0,158;"Stichting Geneesmiddelenbulletin"
"International Journal of Abrasive Technology";0,9;"24.0%
291/384
Industrial and Manufacturing Engineering";36;40;38;0,464;0,214;"Inderscience Publishers"
"Configurations";0,5;"79.0%
232/1106
Literature and Literary Theory";36;76;24;0;0,111;"Johns Hopkins University Press"
"International Journal of Emergency Management";0,8;"25.0%
82/109
Emergency Medicine";36;48;33;0,168;0,147;"Inderscience Publishers"
"International Journal of Signal and Imaging Systems Engineering";2,1;"38.0%
487/797
Electrical and Electronic Engineering";36;17;47;1,007;0,176;"Inderscience Publishers"
"International Journal of Vehicle Systems Modelling and Testing";0,5;"10.0%
113/125
Automotive Engineering";36;67;30;0,173;0,181;"Inderscience Publishers"
"German Studies Review";0,2;"26.0%
408/552
Arts and Humanities (miscellaneous)";36;174;14;0,263;0,1;"Johns Hopkins University Press"
"Journal of Qur'anic Studies";0,6;"69.0%
198/644
Religious Studies";36;63;38;0,619;0,129;"Edinburgh University Press"
"Petrochemical Equipment";0,1;"3.0%
263/273
General Chemical Engineering";36;354;8;0,127;0,102;"Lanzhou Petroleum Machinery Research Institute"
"Indian Journal of Agricultural Biochemistry";0,3;"3.0%
394/406
Agronomy and Crop Science";36;120;21;0,23;0,14;"Indian Society of Agricultural Biochemists"
"Journal of Postgraduate Medical Institute";0,2;"10.0%
568/636
General Medicine";36;187;14;0,185;0,106;"Postgraduate Medical Institute"
"Journal of European Studies";0,4;"40.0%
331/552
Arts and Humanities (miscellaneous)";36;86;30;0,372;0,157;"SAGE"
"Journal of Chinese Writing Systems";0,4;"54.0%
801/1760
History";36;95;28;0,779;0,196;"SAGE"
"International Journal of Christianity and Education";0,5;"68.0%
206/644
Religious Studies";36;66;30;0,597;0,19;"SAGE"
"Journal of Advertising Education";1;"41.0%
298/511
Communication";36;36;56;0,337;0,26;"SAGE"
"Spixiana";0,6;"10.0%
437/490
Animal Science and Zoology";36;59;36;0,441;0,2;"Verlag Dr. Friedrich Pfeil"
"Historyka. Studies in Historical Methods";0,3;"51.0%
847/1760
History";36;103;21;"N/A";"N/A";"Polska Akademia Nauk"
"Dissertationes Archaeologicae ex Instituto Archaeologico Universitatis de Rolando Eotvos Nominatae";0,5;"48.0%
213/413
Archeology (arts and humanities)";36;77;26;0,134;0,154;"Eotvos Lorand Tudomanyegyetem"
"Bilig";0,3;"34.0%
113/173
General Arts and Humanities";36;131;21;0,398;0,125;"Ahmet Yesevi University"
"Fields Institute Communications";0,6;"15.0%
338/399
General Mathematics";36;57;25;"N/A";"N/A";"Springer Nature"
"Diritto Pubblico Comparato ed Europeo";0,2;"17.0%
845/1025
Law";36;148;21;0,426;0,211;"Societa Editrice Il Mulino"
"Vniversitas";0,4;"27.0%
746/1025
Law";36;92;22;0,278;0,178;"Pontificia Universidad Javeriana"
"Mundo Agrario";0,3;"50.0%
869/1760
History";36;106;21;0,631;0,151;"Universidad Nacional de La Plata"
"Eidos";0,5;"52.0%
381/806
Philosophy";36;78;26;0,37;0,119;"Universidad del Norte"
"Theoretical Biology Forum";1,1;"30.0%
153/221
General Agricultural and Biological Sciences";36;34;65;0,692;0,188;"Fabrizio Serra Editore srl"
"Boletin de la Real Academia Espanola";0,4;"45.0%
590/1088
Language and Linguistics";36;83;23;2,023;0,172;"Real Academia Espanola"
"Corvinus Journal of Sociology and Social Policy";0,5;"23.0%
1123/1466
Sociology and Political Science";36;76;24;0,096;0,123;"Corvinus University of Budapest"
"Journal of Comparative Germanic Linguistics";1,2;"70.0%
348/1167
Linguistics and Language";36;30;47;1,521;0,698;"Springer Nature"
"International Journal of Geotechnical Earthquake Engineering";1,9;"39.0%
140/229
Geotechnical Engineering and Engineering Geology";36;19;58;0,423;0,131;"IGI Global Publishing"
"Online Brazilian Journal of Nursing";0,2;"6.0%
130/139
General Nursing";36;162;17;0,067;0,114;"Universidade Federal Fluminense"
"Revista de Nefrologia, Dialisis y Trasplante";0,3;"6.0%
76/81
Nephrology";36;134;18;0,093;0,119;"Asociacion Regional de Dialisi y Transplantes Renales de Capital Federal y Provincia de Buenos Aires"
"Journal of Modern Applied Statistical Methods";0,5;"8.0%
255/278
Statistics and Probability";36;68;26;0,436;0,174;"Wayne State University"
"Emergency and Critical Care Medicine";0,4;"12.0%
96/109
Emergency Medicine";36;86;29;0,162;0,245;"Wolters Kluwer Health"
"Technische Mechanik";0,7;"15.0%
567/672
Mechanical Engineering";36;50;42;0,404;0,174;"Magdeburger Verein fur Technische Mechanik e. V."
"Revista de Derecho Comunitario Europeo";0,4;"30.0%
718/1025
Law";36;85;29;0,418;0,123;"Centro de Estudios Politicos y Constitucionales"
"Anuario Iberoamericano de Justicia Constitucional";0,5;"31.0%
696/1025
Law";36;78;28;0,441;0,128;"Centro de Estudios Politicos y Constitucionales"
"ARYS. Antiguedad, Religiones y Sociedades";0,3;"40.0%
1046/1760
History";36;137;15;1,053;0,144;"Universidad Carlos III de Madrid"
"Antichnaya Drevnost' i Srednie Veka";0,4;"64.0%
61/170
Classics";36;93;28;1,407;0,171;"Ural Federal University"
"Zeitschrift fur Angewandte Linguistik";1;"67.0%
350/1088
Language and Linguistics";36;37;32;0,758;0,106;"Walter de Gruyter"
"Theoretical Linguistics";0,5;"51.0%
525/1088
Language and Linguistics";36;69;28;0,494;0,166;"Walter de Gruyter"
"Historia, Instituciones, Documentos";0,5;"60.0%
688/1760
History";36;78;24;0,716;0,264;"Universidad de Sevilla"
"Journal of Xiangya Medicine";0,4;"22.0%
494/636
General Medicine";36;94;24;0,1;0,131;"AME Publishing Company"
"Communications and Control Engineering";0,3;"6.0%
122/130
Control and Optimization";36;140;17;"N/A";"N/A";"Springer Nature"
"Journal of Open Psychology Data";0,8;"23.0%
75/97
Psychology (miscellaneous)";36;43;65;0,209;"N/A";"Ubiquity Press"
"Biolinguistics";1,5;"77.0%
243/1088
Language and Linguistics";36;24;83;0,426;0,136;"PsychOpen"
"Archives of Hydroengineering and Environmental Mechanics";1,3;"27.0%
276/379
Civil and Structural Engineering";36;27;48;0,755;0,194;"Walter de Gruyter"
"Modern Africa";1;"85.0%
260/1760
History";36;35;34;0,531;0,175;"University of Hradec Kralove, Philosophical Faculty"
"Indian Journal of Forensic Medicine and Pathology";0,1;"3.0%
201/208
Pathology and Forensic Medicine";36;248;7;0,014;0,104;"Red Flower Publication Pvt. Ltd"
"Body, Space and Technology";0,6;"46.0%
298/552
Arts and Humanities (miscellaneous)";36;61;33;0,518;0,156;"Open Library of Humanities"
"Anales de la Asociacion Fisica Argentina";0,4;"4.0%
233/243
General Physics and Astronomy";36;98;19;0,085;0,136;"Centro de Investigaciones en Laseres y Aplicaciones"
"Journal of Mosaic Research";0,4;"60.0%
260/667
Visual Arts and Performing Arts";36;93;23;1,211;0,115;"Bursa Uludag University"
"Forma y Funcion";0,6;"55.0%
485/1088
Language and Linguistics";36;63;35;0,896;0,19;"Universidad Nacional de Colombia"
"Annales Universitatis Mariae Curie-Sklodowska. Sectio B";0,9;"23.0%
150/195
General Earth and Planetary Sciences";36;39;41;0,074;0,144;"Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej w Lublinie"
"Revista Cubana de Cardiologia y Cirugia Cardiovascular";0,2;"8.0%
355/387
Cardiology and Cardiovascular Medicine";36;146;17;0,098;0,12;"Cuban Society of Cardiology, Cuban Institute of Cardiology and Cardiovascular Surgery"
"Cultures et Conflits";0,6;"35.0%
657/1025
Law";36;65;34;0,294;0,13;"Pepper-L'Harmattan"
"Istanbul Tip Fakultesi Dergisi";0,2;"7.0%
586/636
General Medicine";36;233;12;0,054;0,11;"Istanbul University Press"
"Extreme Medicine";0,2;"4.0%
329/344
Infectious Diseases";36;187;13;0,086;0,109;"Federal Medical Biological Agency Publishing Group"
"Journal of Mechatronics, Electrical Power, and Vehicular Technology";0,7;"14.0%
575/672
Mechanical Engineering";36;55;33;0,075;0,13;"National Research and Innovation Agency (BRIN)"
"Asian Review of Financial Research";0,5;"8.0%
290/317
Finance";36;77;25;0,266;0,143;"Korean Finance Association"
"Huaxue Fanying Gongcheng Yu Gongyi/Chemical Reaction Engineering and Technology";0,1;"4.0%
261/273
General Chemical Engineering";36;246;11;0,072;0,114;"Zhejiang University"
"Proceedings of the Centre for Economic History Research";0,3;"47.0%
926/1760
History";36;114;23;0,793;0,184;"Center for Economic and History Research (CEHR)"
"Archives of Veterinary Medicine";0,6;"31.0%
8/11
Equine";36;58;31;0,112;0,154;"Scientific Veterinary Institute Novi Sad"
"Journal of Defense Analytics and Logistics";0,9;"22.0%
20/25
Decision Sciences (miscellaneous)";36;38;42;0,475;0,201;"Emerald Publishing"
"Journal of University Medical and Dental College";0,2;"12.0%
557/636
General Medicine";36;162;15;0,087;0,113;"University of Faisalabad"
"Russian Language at School";0,1;"14.0%
998/1167
Linguistics and Language";36;268;10;0,046;0,157;"Nash Language Limited Liability Company"
"Nineteenth-Century Gender Studies";0,3;"67.0%
364/1106
Literature and Literary Theory";36;106;18;0,261;0,11;"Editorial Board of Nineteenth-Century Gender Studies"
"Journal of Asian Energy Studies";1,6;"30.0%
55/78
Energy (miscellaneous)";36;23;61;0,308;0,39;"Hong Kong Baptist University"
"Plant Protection Bulletin (Turkey)";0,9;"24.0%
147/193
Agricultural and Biological Sciences (miscellaneous)";36;40;60;0,612;0,133;"Plant Protection Central Research Institute"
"Cardiovascular Medicine";0,4;"10.0%
348/387
Cardiology and Cardiovascular Medicine";36;99;18;0,066;0,154;"EMH Schweizerischer Arzteverlag AG"
"Journal of Applied Research on Children";0,7;"33.0%
971/1466
Sociology and Political Science";36;51;41;0,167;0,145;"Texas Medical Center Library"
"Archiwum Kryminologii";0,5;"31.0%
696/1025
Law";36;78;32;0,182;"N/A";"Institute of Law Studies of the Polish Academy of Sciences and the Committee on Legal Sciences of the Polish Academy of Sciences"
"IZA Journal of Labor Economics";1,4;"40.0%
36/60
Industrial Relations";36;26;46;0,41;0,454;"Laborwide"
"Stanovnistvo";0,6;"24.0%
207/275
General Social Sciences";36;63;30;0,196;0,155;"Demographic Research Centre"
"Studia Antiqua et Archaeologica";0,3;"60.0%
68/170
Classics";36;105;23;0,713;0,18;"Editura Universitatii Al. I. Cuza Iasi"
"Clinical and Preventive Medicine";0,1;"7.0%
591/636
General Medicine";36;246;11;0,075;"N/A";"State Institution of Science ""Research and Practical Center of Preventive and Clinical Medicine"" State Administration Department"
"Folklor/Edebiyat";0,1;"21.0%
1381/1760
History";36;265;11;0,31;0,175;"Cyprus International University"
"Boletin del Instituto de Historia Argentina y Americana 'Dr. Emilio Ravignani'";0,4;"56.0%
769/1760
History";36;89;21;0,73;0,1;"Institute of Argentine and American History ""Dr. Emilio Ravignani"""
"Journal of Research and Applications in Mechanical Engineering";0,6;"13.0%
177/204
Engineering (miscellaneous)";36;61;28;0,084;"N/A";"Thai Society of Mechanical Engineers (TSME)"
"Gynakologische Endokrinologie";0,2;"11.0%
186/209
Obstetrics and Gynecology";37;153;17;0,059;0,107;"Springer Nature"
"X-ray Structure Analysis Online";0,6;"12.0%
278/317
Materials Chemistry";37;61;34;0,08;0,11;"Japan Society for Analytical Chemistry"
"AUS";0,4;"36.0%
120/189
Architecture";37;87;25;0,542;0,173;"Universidad Austral de Chile"
