"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Current Research in Toxicology";4,7;"50.0%
74/148
Health, Toxicology and Mutagenesis";610;131;72;0,842;0,722;"Elsevier"
"Economic Systems Research";5,6;"79.0%
144/716
Economics and Econometrics";610;109;77;1,375;0,894;"Taylor & Francis"
"Educational Action Research";3,1;"65.0%
529/1543
Education";610;200;76;1,521;0,758;"Taylor & Francis"
"Anatomical Science International";2,8;"59.0%
20/48
Anatomy";610;221;70;0,772;0,375;"Springer Nature"
"International Journal of Electronic Commerce";7,2;"85.0%
102/716
Economics and Econometrics";611;85;76;1,374;1,196;"Taylor & Francis"
"Journal of Educational Administration";3,8;"73.0%
410/1543
Education";611;159;72;1,658;1,022;"Emerald Publishing"
"Journal of the Mechanical Behavior of Materials";3;"53.0%
91/196
Materials Science (miscellaneous)";611;203;69;1,088;0,412;"Walter de Gruyter"
"Consumption Markets and Culture";4,8;"95.0%
24/502
Anthropology";611;126;77;1,347;0,776;"Taylor & Francis"
"International Journal for Educational Integrity";6,9;"94.0%
32/604
Social Sciences (miscellaneous)";611;88;77;1,732;0,997;"Springer Nature"
"Journal of Indian Society of Periodontology";1,7;"52.0%
12/24
Periodontics";611;362;54;0,653;0,306;"Wolters Kluwer Health"
"EAI Endorsed Transactions on Energy Web";2,6;"44.0%
151/272
Energy Engineering and Power Technology";611;239;52;0,535;0,234;"European Alliance for Innovation"
"Journal of Immunoassay and Immunochemistry";3,5;"67.0%
14/41
Medical Laboratory Technology";612;177;72;0,476;0,354;"Taylor & Francis"
"Pediatric Hematology and Oncology";2,6;"52.0%
157/330
Pediatrics, Perinatology and Child Health";612;239;71;0,541;0,439;"Taylor & Francis"
"Earth (Switzerland)";3,3;"59.0%
90/219
Environmental Science (miscellaneous)";612;183;78;0,743;0,457;"Multidisciplinary Digital Publishing Institute (MDPI)"
"International Journal of Computer Network and Information Security";4,1;"78.0%
137/635
Applied Mathematics";612;151;68;0,625;0,307;"Modern Education and Computer Science Press"
"Journal of Oil Palm Research";2,6;"53.0%
190/406
Agronomy and Crop Science";612;236;72;0,61;0,255;"Lembaga Minyak Sawit Malaysia"
