"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Journal of Music Theory";1,4;"81.0%
33/180
Music";47;34;53;0,377;0,246;"Duke University Press"
"Orbis Litterarum";0,4;"74.0%
284/1106
Literature and Literary Theory";47;113;22;0,691;0,128;"John Wiley & Sons"
"Zeitschrift fur Phytotherapie : offizielles Organ der Ges. f. Phytotherapie e.V";0,3;"7.0%
289/313
Pharmacology";47;156;17;0,103;0,144;"Hippokrates Verlag GmbH"
"Hispania - Revista Espanola de Historia";0,4;"57.0%
752/1760
History";47;113;21;1,614;0,11;"CSIC Consejo Superior de Investigaciones Cientificas"
"Trans";0,6;"55.0%
484/1088
Language and Linguistics";47;82;30;1,08;0,289;"Universidad de Malaga"
"Journal of Germanic Linguistics";1,1;"94.0%
59/1106
Literature and Literary Theory";47;44;43;0,566;0,183;"Cambridge University Press"
"Libyan Studies";0,8;"80.0%
344/1760
History";47;57;32;0,721;0,208;"Cambridge University Press"
"Folklore";0,6;"68.0%
551/1760
History";47;82;33;0,838;0,15;"Taylor & Francis"
"Black Scholar";0,6;"59.0%
534/1304
Cultural Studies";47;77;25;"N/A";0,126;"Taylor & Francis"
"Journal of the Canadian Society of Forensic Science";1;"22.0%
162/208
Pathology and Forensic Medicine";47;49;43;0,244;0,274;"Taylor & Francis"
"Journal of Pacific History";0,5;"63.0%
637/1760
History";47;93;30;"N/A";0,115;"Taylor & Francis"
"IMAGING";0,7;"24.0%
302/398
Medicine (miscellaneous)";47;71;34;0,151;0,181;"Akademiai Kiado"
"Research in Economic Anthropology";1;"56.0%
217/502
Anthropology";47;45;49;"N/A";"N/A";"Emerald Publishing"
"Acta Linguistica Hafniensia";0,9;"65.0%
372/1088
Language and Linguistics";47;53;32;0,881;0,157;"Taylor & Francis"
"Contemporary Theatre Review";0,5;"69.0%
206/667
Visual Arts and Performing Arts";47;97;32;"N/A";0,14;"Taylor & Francis"
"Journal of Jewish Education";0,7;"76.0%
150/644
Religious Studies";47;66;36;0,586;0,203;"Taylor & Francis"
"Research in the History of Economic Thought and Methodology";0,5;"58.0%
72/173
General Arts and Humanities";47;91;25;"N/A";"N/A";"Emerald Publishing"
"Journal of Chinese Philosophy";0,5;"58.0%
337/806
Philosophy";47;87;34;1,163;0,167;"Brill"
"Journal of Chinese Overseas";0,9;"69.0%
393/1304
Cultural Studies";47;54;37;0,775;0,204;"Brill"
"Palgrave Studies in the History of Science and Technology";0,5;"63.0%
651/1760
History";47;95;25;"N/A";"N/A";"Springer Nature"
"Stochastics and Quality Control";1,1;"38.0%
57/92
Discrete Mathematics and Combinatorics";47;43;44;0,768;0,317;"Walter de Gruyter"
"Lexicographica";0,7;"59.0%
442/1088
Language and Linguistics";47;70;29;0,811;0,234;"Walter de Gruyter"
"Formation Emploi";0,3;"14.0%
1249/1466
Sociology and Political Science";47;149;27;0,343;0,176;"Documentation Francaise"
"Kidney Cancer";0,9;"24.0%
62/81
Nephrology";47;54;43;0,153;0,256;"IOS Press"
"De Gruyter Studies in Mathematics";1,5;"60.0%
48/119
Algebra and Number Theory";47;31;39;1,73;"N/A";"Walter de Gruyter"
"History and Memory";1,1;"86.0%
242/1760
History";47;44;52;1,169;0,181;"Indiana University Press"
"Nachrichten aus der Chemie";0,2;"6.0%
257/273
General Chemical Engineering";47;280;11;0,206;0,117;"Walter de Gruyter"
"Proceedings - IEEE Computer Society's International Computer Software and Applications Conference";0,2;"1.0%
806/817
Computer Science Applications";47;288;13;"N/A";"N/A";"IEEE"
"Revista Cubana de Hematologia, Inmunologia y Hemoterapia";0,3;"4.0%
132/137
Hematology";47;180;21;0,072;0,131;"Editorial Ciencias Medicas"
"International Journal of Electronic Healthcare";1;"23.0%
237/310
Health Policy";47;49;41;0,165;0,154;"Inderscience Publishers"
"International Journal of Manufacturing Research";0,9;"25.0%
288/384
Industrial and Manufacturing Engineering";47;51;31;0,18;0,186;"Inderscience Publishers"
"Indian Spine Journal";0,4;"13.0%
475/551
Surgery";47;130;20;0,13;0,133;"Wolters Kluwer Health"
"Journal of Brachial Plexus and Peripheral Nerve Injury";1,7;"28.0%
286/400
Neurology (clinical)";47;27;63;1,159;0,233;"Springer Nature"
"International Journal of Clinical Dentistry";0,3;"7.0%
122/132
General Dentistry";47;170;15;0,042;0,116;"Nova Science Publishers, Inc."
"Journal of Literary Studies";0,5;"78.0%
236/1106
Literature and Literary Theory";47;100;31;0,625;0,155;"Unisa Press"
"Societes Contemporaines";0,5;"21.0%
1144/1466
Sociology and Political Science";47;103;29;0,611;0,124;"Presses de Sciences Po"
"Adaptation, Learning, and Optimization";1,2;"22.0%
180/232
General Computer Science";47;38;47;"N/A";"N/A";"Springer Nature"
"Journal of Religious History";0,4;"61.0%
249/644
Religious Studies";47;105;28;"N/A";0,108;"John Wiley & Sons"
"Parallax";0,5;"79.0%
231/1106
Literature and Literary Theory";47;99;23;0,679;0,146;"Taylor & Francis"
"College Literature";0,4;"74.0%
277/1106
Literature and Literary Theory";47;112;26;0,689;0,105;"West Chester University"
"Tijdschrift voor Urologie";0,5;"17.0%
99/120
Urology";47;104;18;0,039;0,111;"Springer Nature"
"Asia Maior";0,7;"75.0%
425/1760
History";47;66;45;0,009;0,101;"Viella"
"Temenos";1,1;"88.0%
77/644
Religious Studies";47;43;35;0,763;0,171;"Abo Akademi University"
"Southern Cultures";0,3;"45.0%
94/173
General Arts and Humanities";47;140;9;0,658;0,181;"University of North Carolina Press"
"European Yearbook of International Economic Law";0,2;"15.0%
869/1025
Law";47;221;13;"N/A";"N/A";"Springer Nature"
"Micro and Macro Marketing";0,4;"7.0%
194/210
Marketing";47;110;31;0,117;0,125;"Il Mulino publishing house"
"Revista del Jardin Botanico Nacional";0,8;"12.0%
405/461
Ecology";47;62;39;0,135;0,128;"Universidad de La Habana"
"International Journal of Sport and Society";0,5;"33.0%
52/78
Health Professions (miscellaneous)";47;90;32;0,27;0,196;"Common Ground Research Networks"
"International Journal of Intangible Heritage";1;"80.0%
17/83
Museology";47;48;42;0,727;0,425;"The National Folk Museum of Korea"
"Sri Lankan Journal of Anaesthesiology";0,4;"16.0%
114/136
Anesthesiology and Pain Medicine";47;117;25;0,169;0,131;"College of Anaesthesiologists of Sri Lanka"
"Waterlines";1,2;"21.0%
205/261
Water Science and Technology";47;40;48;0,233;0,196;"Practical Action Publishing"
"International Journal of Design Education";0,6;"73.0%
179/667
Visual Arts and Performing Arts";47;85;29;0,206;0,133;"Common Ground Research Networks"
"Teorema";0,5;"57.0%
339/806
Philosophy";47;88;34;0,388;0,15;"KRK Ediciones"
"Studies in the Novel";0,4;"74.0%
284/1106
Literature and Literary Theory";47;113;22;1,036;0,183;"University of North Texas, English Department"
"Medecine Palliative";0,3;"12.0%
119/136
Anesthesiology and Pain Medicine";47;150;23;0,191;0,187;"Elsevier"
"Revista de historia";0,2;"37.0%
1103/1760
History";47;196;14;1,013;0,142;"Universidade de Sao Paulo, Faculdade de Filosofia"
"Fuentes el Reventon Energetico";0,8;"13.0%
64/73
General Energy";47;58;40;0,348;0,155;"Universidad Industrial de Santander"
"Horizon. Studies in Phenomenology";0,4;"47.0%
427/806
Philosophy";47;122;23;0,965;0,258;"Saint Petersburg State University"
"World Customs Journal";0,7;"23.0%
220/288
General Economics, Econometrics and Finance";47;67;28;0,313;0,111;"International Network of Customs Universities"
"Paginas";0,3;"40.0%
1052/1760
History";47;180;19;0,268;0,108;"Universidad Nacional de Rosario - Facultad de Humanidades y Artes, Escuela de Historia"
"Debats";0,5;"50.0%
643/1304
Cultural Studies";47;99;18;0,067;0,116;"Institucio Alfons el Magnanim-Centre Valencia d'Estudis i d'Investigacio. Diputacio de Valencia"
"European Human Rights Law Review";0,3;"20.0%
816/1025
Law";47;167;14;0,595;0,106;"Sweet and Maxwell-Thomson Reuters"
"Veredas do Direito";0,5;"32.0%
691/1025
Law";47;100;30;0,371;0,152;"Editora Dom Helder"
"Palaeobulgarica";0,5;"60.0%
702/1760
History";47;104;23;0,701;0,127;"Cyrillo-Methodian Research Centre of BAS"
"LingVaria";0,3;"33.0%
722/1088
Language and Linguistics";47;159;21;1,012;0,216;"Ksiegarnia Akademicka Publishing Ltd"
"Review of Applied Socio-Economic Research";0,6;"27.0%
435/604
Social Sciences (miscellaneous)";47;76;32;0,315;0,162;"Pro Global Science Association"
"Pesticide Research Journal";0,3;"6.0%
180/193
Agricultural and Biological Sciences (miscellaneous)";47;145;18;0,311;0,123;"Society of Pesticide Science India"
"Acta Hydrotechnica";1,3;"28.0%
165/229
Geotechnical Engineering and Engineering Geology";47;36;39;0,085;0,127;"University of Ljubljana, Faculty of Civil and Geodetic Engineering"
"Momento";1,1;"67.0%
74/223
History and Philosophy of Science";47;44;39;0,181;0,146;"Universidad Nacional de Colombia"
"Criticon";0,6;"86.0%
152/1106
Literature and Literary Theory";47;78;36;0,79;0,1;"Presses Universitaires du Midi"
"Revista de Investigacion e Innovacion en Ciencias de la Salud";0,5;"36.0%
50/78
Health Professions (miscellaneous)";47;87;28;0,277;0,201;"Fundacion Universitaria Maria Cano"
"Revista Guillermo de Ockham";0,5;"41.0%
322/552
Arts and Humanities (miscellaneous)";47;103;26;0,654;0,148;"University of San Buenaventura - Cali"
"Journal of Urban Mathematics Education";1,4;"54.0%
183/399
General Mathematics";47;33;52;0,817;0,391;"Texas A and M University"
"IP Indian Journal of Clinical and Experimental Dermatology";0,2;"8.0%
130/142
Dermatology";47;249;13;0,135;"N/A";"IP Innovative Publication Pvt. Ltd."
"Jurnal IUS Kajian Hukum dan Keadilan";0,3;"19.0%
820/1025
Law";47;172;19;0,265;"N/A";"Mataram University Faculty of Law"
"Cuadernos de Historia";0,5;"60.0%
690/1760
History";47;102;27;0,756;0,205;"Universidad de Chile, Facultad de Filosofia y Humanidades, Departamento de Literatura"
"Sociologia Urbana e Rurale";0,4;"18.0%
114/139
Demography";48;131;25;0,234;0,14;"Franco Angeli Edizioni"
"Bulletin of Symbolic Logic";0,6;"61.0%
312/806
Philosophy";48;80;31;1,3;0,387;"Cambridge University Press"
