"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"LEA";0;"8.0%
1009/1106
Literature and Literary Theory";3;108;2;0,104;0,1;"Firenze University Press"
"Studi Secenteschi";0,2;"39.0%
669/1106
Literature and Literary Theory";3;18;17;"N/A";0,102;"Casa Editrice Leo S. Olschki"
"Authorship";0,2;"44.0%
610/1106
Literature and Literary Theory";3;16;13;0;0,102;"Universiteit Gent"
"Revista de Letras";0;"12.0%
971/1106
Literature and Literary Theory";3;66;5;0,167;0,1;"Universidade Estadual Paulista (UNESP)"
"Farbe und Lack";0;"2.0%
129/132
Surfaces, Coatings and Films";3;214;1;0;0,1;"Vincentz Verlag"
"Genocide Studies International";0,1;"7.0%
951/1025
Law";3;25;12;0,252;0,102;"University of Toronto Press"
"Journal of Empirical Generalisations in Marketing Science";0,3;"6.0%
197/210
Marketing";3;10;20;0;0,105;"University of South Australia"
"Revista Euphrosyne";0,1;"10.0%
153/170
Classics";3;41;7;0;0,101;"Universidade de Lisboa"
"Humans and Nature";0,1;"2.0%
228/233
General Environmental Science";3;24;13;0,188;0,105;"Museum of Nature and Human Activities"
"DOLOR";0;"1.0%
134/136
Anesthesiology and Pain Medicine";3;97;3;0,001;0,101;"Publicaciones Permanyer"
"Annuaire Roumain d'Anthropologie";0,1;"5.0%
476/502
Anthropology";3;33;6;0;0,101;"Publishing House of the Romanian Academy"
"Etudes Celtique";0,1;"22.0%
1356/1760
History";3;21;14;0;0,102;"Centre National de la Recherche Scientifique (C N R S)"
"Cuadernos del Cemyr";0,1;"19.0%
884/1106
Literature and Literary Theory";3;38;8;0;0,102;"Universidad de la Laguna"
"Critical Studies";0,1;"18.0%
897/1106
Literature and Literary Theory";3;40;8;"N/A";"N/A";"Brill"
"ITU News";0;"1.0%
783/797
Electrical and Electronic Engineering";3;118;3;"N/A";0,1;"International Telecommunications Union"
"Hepatic Oncology";0,4;"14.0%
71/82
Hepatology";3;7;14;0,1;0,155;"Taylor & Francis"
"Communication and Democracy";0,1;"9.0%
931/1025
Law";3;21;14;0,396;0,107;"Taylor & Francis"
"Studia Slavica Academiae Scientiarum Hungaricae";0;"7.0%
1633/1760
History";3;61;5;0;0,101;"Akademiai Kiado"
"Advances in Financial Economics";0,4;"13.0%
210/242
Economics, Econometrics and Finance (miscellaneous)";3;7;29;"N/A";"N/A";"Emerald Publishing"
"Research in Law and Economics";0,2;"15.0%
868/1025
Law";3;14;14;"N/A";"N/A";"Emerald Publishing"
"Studies in Religion and the Arts";0,1;"29.0%
470/667
Visual Arts and Performing Arts";3;21;10;"N/A";"N/A";"Brill"
"Textus";0,1;"22.0%
1356/1760
History";3;21;14;0;0,113;"Brill"
"Mediterranean Art Histories";0,2;"31.0%
458/667
Visual Arts and Performing Arts";3;19;16;0;"N/A";"Brill"
"Music in Art";0,1;"23.0%
513/667
Visual Arts and Performing Arts";3;29;7;0;0,101;"City University of New York"
