"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Review of Regional Research";2,4;"69.0%
184/604
Social Sciences (miscellaneous)";112;47;62;0,87;0,341;"Springer Nature"
"Tourism, Culture and Communication";1,2;"77.0%
294/1304
Cultural Studies";112;96;47;0,176;0,237;"Cognizant Communication Corporation"
"Praxis der Kinderpsychologie und Kinderpsychiatrie";0,5;"9.0%
514/567
Psychiatry and Mental Health";112;226;27;0,248;0,157;"Vandenhoeck and Ruprecht"
"Journal of Digital and Social Media Marketing";0,9;"38.0%
314/511
Communication";112;121;35;0,232;0,206;"Henry Stewart Publications"
"Historical Studies in the Natural Sciences";1;"65.0%
76/223
History and Philosophy of Science";112;108;35;0,881;0,156;"University of California Press"
"Itinerario";1,2;"88.0%
210/1760
History";112;97;41;1,437;0,181;"Cambridge University Press"
"RSC Sustainability";0,6;"13.0%
96/111
Chemistry (miscellaneous)";112;195;33;"N/A";"N/A";"Royal Society of Chemistry"
"Journal of Allergy and Clinical Immunology: Global";0,7;"12.0%
204/233
Immunology and Allergy";112;155;41;0,387;0,473;"Elsevier"
"Design and Culture";1,8;"94.0%
38/667
Visual Arts and Performing Arts";112;64;52;0,832;0,278;"Taylor & Francis"
"Palgrave Studies in Digital Business and Enabling Technologies";2,3;"51.0%
93/189
Business, Management and Accounting (miscellaneous)";112;48;56;"N/A";"N/A";"Springer Nature"
"Journal of Legal Studies";1,7;"71.0%
296/1025
Law";112;66;55;0,975;0,45;"University of Chicago Press"
"Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide";2,1;"87.0%
165/1304
Cultural Studies";112;54;61;0,479;0,295;"Taylor & Francis"
"Technical Communication";1,4;"53.0%
284/604
Social Sciences (miscellaneous)";112;82;51;0,629;0,581;"Society for Technical Communication"
"Journal of Bio-X Research";1,3;"24.0%
167/221
General Biochemistry, Genetics and Molecular Biology";112;89;47;0,164;0,187;"American Association for the Advancement of Science"
"ACM Transactions on Modeling and Performance Evaluation of Computing Systems";2,1;"59.0%
26/63
Media Technology";112;54;67;0,768;0,525;
"Review of Cognitive Linguistics";1,3;"74.0%
274/1088
Language and Linguistics";112;86;45;1,033;0,353;"John Benjamins Publishing Company"
"Journal of Ultrafine Grained and Nanostructured Materials";1,2;"32.0%
120/176
Metals and Alloys";112;96;47;0,159;0,184;"University of Tehran"
"Chemical and Process Engineering - Inzynieria Chemiczna i Procesowa";1,3;"24.0%
207/273
General Chemical Engineering";112;89;51;0,261;0,149;"Polska Akademia Nauk"
"International Journal of Mining and Geo-Engineering";0,8;"24.0%
33/43
Economic Geology";112;145;43;0,265;0,16;"University of Tehran"
"Sociedade e Estado";0,8;"37.0%
911/1466
Sociology and Political Science";112;142;33;0,522;0,253;"Universidade de Brasilia"
"Medicine, Conflict and Survival";1,8;"35.0%
134/208
Pathology and Forensic Medicine";112;64;64;0,61;0,361;"Taylor & Francis"
"Annales Francaises de Medecine d'Urgence";0,6;"22.0%
85/109
Emergency Medicine";112;181;23;0,148;0,128;"Springer Nature"
"Journal of Palestine Studies";1,1;"45.0%
796/1466
Sociology and Political Science";112;104;36;2,129;0,253;"Taylor & Francis"
"Novum Jus";1;"52.0%
479/1025
Law";112;112;35;1,589;0,488;"Universidad Catolica de Colombia"
"African Journal of Infectious Diseases";1,6;"26.0%
252/344
Infectious Diseases";112;70;63;0,63;0,265;"Obafemi Awolowo University"
"Collegiate Aviation Review";1,1;"31.0%
1057/1543
Education";112;98;37;0,555;0,263;"University Aviation Association"
"Open Bioinformatics Journal";2,4;"39.0%
81/133
Computer Science (miscellaneous)";112;47;60;0,347;0,227;"Bentham Science Publishers"
"Journal of Sustainable Architecture and Civil Engineering";1,2;"63.0%
69/189
Architecture";112;92;51;0,572;0,269;"Kauno Technologijos Universitetas"
"Journal of Pediatrics: X";4,9;"82.0%
59/330
Pediatrics, Perinatology and Child Health";112;23;74;1,069;0,653;"Elsevier"
"Neuropsychopharmacologia Hungarica";1,6;"44.0%
45/80
General Pharmacology, Toxicology and Pharmaceutics";112;70;44;0,428;0,242;"Hungarian Association of Psychopharmacology"
"Dissertationes Mathematicae";2,8;"81.0%
73/399
General Mathematics";112;40;53;2,005;1,071;"Institute of Mathematics. Polish Academy of Sciences"
"Probability Surveys";4,7;"88.0%
32/278
Statistics and Probability";112;24;83;2,371;1,054;"Institute of Mathematical Statistics"
"InterCeram: International Ceramic Review";1,6;"29.0%
90/127
Ceramics and Composites";112;70;53;0,651;0,172;"Expert Fachmedien Gmbh"
"Araucaria";0,3;"51.0%
859/1760
History";112;326;24;0,678;0,237;"Universidad de Sevilla"
"Journal of Intelligence Studies in Business";2;"33.0%
137/207
Management Science and Operations Research";112;56;55;0,498;0,174;"Halmstad University"
"Forestry Ideas";0,9;"19.0%
140/174
Forestry";112;131;43;0,309;0,174;"University of Forestry"
"Ethnologia Europaea";1,8;"85.0%
194/1304
Cultural Studies";112;63;63;0,974;0,198;"Open Library of Humanities"
"Investigacoes em Ensino de Ciencias";0,5;"13.0%
1333/1543
Education";112;231;31;0,509;0,2;"Universidade Federal do Rio Grande do Sul, Instituto de Fisica"
"Acta Agronomica";0,7;"14.0%
136/159
Soil Science";112;154;26;0,184;0,143;"Universidad Nacional de Colombia"
"Medical Visualization";0,6;"13.0%
287/333
Radiology, Nuclear Medicine and Imaging";112;200;31;0,303;0,133;"VIDAR Publishing House"
"East European Journal of Psycholinguistics";0,9;"66.0%
361/1088
Language and Linguistics";112;119;51;0,542;0,169;"Lesya Ukrainka Volyn National University"
"Research Journal of Pharmacognosy";1,1;"27.0%
77/105
Complementary and Alternative Medicine";112;99;54;0,295;0,219;"Iranian Society of Pharmacognosy"
"National Journal of Community Medicine";0,2;"10.0%
357/398
Medicine (miscellaneous)";112;455;16;0,151;0,132;"MedSci Publications"
"Ruthenica";1,5;"35.0%
319/490
Animal Science and Zoology";112;77;51;0,663;0,271;"A.N.Severtsov Institute of Ecology and Evolution of RAS"
"Research in Corpus Linguistics";1,9;"81.0%
199/1088
Language and Linguistics";112;59;56;1,232;0,209;"Spanish Association for Corpus Linguistics"
"Experimental and Applied Biomedical Research (EABR)";0,6;"32.0%
427/636
General Medicine";112;187;29;0,062;"N/A";"Walter de Gruyter"
"Vestnik Rossiyskikh Universitetov. Matematika";0,9;"29.0%
280/399
General Mathematics";112;125;44;1,041;0,412;"Tambov State University"
"Key Challenges in Geography";0,5;"13.0%
713/821
Geography, Planning and Development";112;223;27;"N/A";"N/A";"Springer Nature"
"Ibrain";0,9;"18.0%
157/192
Neurology";113;132;42;0,176;"N/A";"John Wiley & Sons"
