"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"IEEE Transactions on Electromagnetic Compatibility";4,8;"66.0%
146/434
Condensed Matter Physics";4801;1001;78;1,148;0,886;"IEEE"
"Waste Management and Research";8,5;"82.0%
35/197
Environmental Engineering";4801;567;87;1,081;0,857;"SAGE"
"International Journal of Surgery Case Reports";1,1;"37.0%
346/551
Surgery";4813;4580;46;0,564;0,227;"Elsevier"
"Fire Safety Journal";5,7;"79.0%
47/223
Building and Construction";4814;841;76;1,672;0,774;"Elsevier"
"Ocular Surface";11,6;"97.0%
4/137
Ophthalmology";4821;414;86;1,801;1,725;"Elsevier"
"International Journal of Structural Stability and Dynamics";5,3;"86.0%
87/635
Applied Mathematics";4822;908;82;1,212;0,687;"World Scientific"
"Geological Society Special Publication";5,3;"81.0%
60/321
Geology";4823;918;96;0,662;0,687;"Geological Society of London"
"Reproductive Health";6;"83.0%
36/209
Obstetrics and Gynecology";4836;804;78;1,496;1,083;"Springer Nature"
"Animal Nutrition";9,7;"98.0%
1/39
Food Animals";4843;498;85;1,559;1,319;"KeAi Communications Co."
"Expert Opinion on Drug Delivery";11,1;"93.0%
13/183
Pharmaceutical Science";4844;438;86;1,09;1,009;"Taylor & Francis"
"Journal of Fish Biology";4;"69.0%
223/721
Ecology, Evolution, Behavior and Systematics";4848;1217;75;0,84;0,553;"John Wiley & Sons"
"Journal of Pest Science";10,4;"98.0%
4/181
Insect Science";4849;468;94;1,749;1,198;"Springer Nature"
"Journal of Statistical Mechanics: Theory and Experiment";4,5;"87.0%
36/278
Statistics and Probability";4856;1078;75;0,76;0,388;"Institute of Physics Publishing"
"Human Reproduction Update";28,8;"99.0%
1/209
Obstetrics and Gynecology";4860;169;99;4,417;4,074;"Oxford University Press"
"Pancreatology";7,2;"74.0%
62/244
Endocrinology, Diabetes and Metabolism";4861;675;83;1,094;1,246;"Elsevier"
"Plasma Physics and Controlled Fusion";4,5;"79.0%
16/77
Nuclear Energy and Engineering";4863;1085;78;1,031;0,977;"Institute of Physics Publishing"
"Manufacturing and Service Operations Management";9,3;"88.0%
25/207
Management Science and Operations Research";4863;524;73;2,444;5,466;"INFORMS Institute for Operations Research and the Management Sciences"
