"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Tidsskrift for Samfunnsforskning";0,7;"32.0%
995/1466
Sociology and Political Science";60;88;36;0,486;0,219;"Scandinavian University Press"
"Acta Mathematica Universitatis Comenianae";0,7;"16.0%
331/399
General Mathematics";60;92;26;0,344;0,182;"Univerzita Komenskeho"
"Anuario de Psicologia";0,8;"16.0%
472/567
Psychiatry and Mental Health";60;76;32;0,256;0,194;"Universitat de Barcelona"
"Canadian Acoustics - Acoustique Canadienne";0,5;"3.0%
43/44
Acoustics and Ultrasonics";60;127;13;0,312;0,143;"Canadian Acoustical Association"
"Ancient Philosophy";0,5;"76.0%
41/170
Classics";60;116;28;0,518;0,301;"Philosophy Documentation Center"
"Business and Professional Ethics Journal";1;"72.0%
221/806
Philosophy";60;63;40;0,475;0,22;"Philosophy Documentation Center"
"Journal of Cotton Science";0,9;"13.0%
399/463
General Materials Science";60;66;39;0,348;0,227;"National Cotton Council of America"
"Colonial Latin American Review";0,6;"47.0%
291/552
Arts and Humanities (miscellaneous)";60;97;36;0,791;0,239;"Taylor & Francis"
"Advances in Global Leadership";2,1;"69.0%
216/706
Political Science and International Relations";60;28;71;"N/A";"N/A";"Emerald Publishing"
"Journal of Historical Research in Marketing";0,9;"16.0%
176/210
Marketing";60;67;45;0,444;0,281;"Emerald Publishing"
"European Legacy";0,3;"42.0%
1007/1760
History";60;213;18;0,3;0,112;"Taylor & Francis"
"Studies in European Cinema";0,8;"84.0%
106/667
Visual Arts and Performing Arts";60;72;29;0,541;0,115;"Taylor & Francis"
"Journal of Phenomenological Psychology";1,8;"47.0%
51/97
Psychology (miscellaneous)";60;33;52;1,088;0,496;"Brill"
"Hawwa";1;"74.0%
337/1304
Cultural Studies";60;60;38;0,976;0,152;"Brill"
"Palgrave Studies in Adaptation and Visual Culture";0,4;"60.0%
260/667
Visual Arts and Performing Arts";60;155;15;"N/A";"N/A";"Springer Nature"
"Zeitschrift fur Assyriologie und Vorderasiastische Archaeologie";1,1;"75.0%
101/413
Archeology (arts and humanities)";60;53;51;1,257;0,319;"Walter de Gruyter"
"Transactions of the Charles S Peirce Society";0,7;"65.0%
281/806
Philosophy";60;86;31;1,104;0,182;"Indiana University Press"
"Hellenic Plant Protection Journal";1,5;"35.0%
261/406
Agronomy and Crop Science";60;40;63;0,522;0,238;"Walter de Gruyter"
"Revista Hispanoamericana de Hernia";0,5;"20.0%
440/551
Surgery";60;122;28;0,257;0,179;"Elsevier"
"Gifted and Talented International";1,3;"36.0%
986/1543
Education";60;46;48;0,695;0,212;"Taylor & Francis"
"International Journal of Computational Materials Science and Surface Engineering";1,2;"30.0%
214/307
General Engineering";60;49;43;0,172;0,223;"Inderscience Publishers"
"East Asian Pragmatics";0,7;"61.0%
502/1304
Cultural Studies";60;91;40;0,292;0,208;"Equinox Publishing Ltd"
"Informing Science";1,6;"55.0%
125/280
Library and Information Sciences";60;38;55;0,22;0,137;"Informing Science Institute"
"Journal of Semitic Studies";0,6;"85.0%
164/1106
Literature and Literary Theory";60;102;33;0,945;0,216;"Oxford University Press"
"Journal of the Liaquat University of Medical and Health Sciences";0,3;"14.0%
542/636
General Medicine";60;227;16;0,095;0,125;"Liaquat University of Medical and Health Sciences"
"Estonian Journal of Archaeology";2,2;"87.0%
53/413
Archeology (arts and humanities)";60;27;67;1,156;0,827;"Estonian Academy Publishers"
"IUCrData";0,3;"3.0%
77/79
Inorganic Chemistry";60;224;18;0,301;0,173;"International Union of Crystallography"
"Discourse and Interaction";1,2;"73.0%
284/1088
Language and Linguistics";60;49;43;0,803;0,26;"Masarykova Universita"
"Juvenile and Family Court Journal";0,8;"45.0%
555/1025
Law";60;73;32;0,274;0,22;"John Wiley & Sons"
"Journal of Screenwriting";0,8;"91.0%
93/1106
Literature and Literary Theory";60;73;48;0,648;0,187;"Intellect Publishers"
"Journal of Arab and Muslim Media Research";1,1;"76.0%
303/1304
Cultural Studies";60;53;53;0,379;0,166;"Intellect Publishers"
"Human Geographies";1,1;"29.0%
578/821
Geography, Planning and Development";60;56;48;0,628;0,222;"Universitatea din Bucuresti"
"Open AIDS Journal";1,3;"27.0%
483/665
Public Health, Environmental and Occupational Health";60;45;47;0,417;0,297;"Bentham Science Publishers"
"Wulfenia";1,2;"22.0%
401/516
Plant Science";60;51;41;0,196;0,149;"Landesmuseum Karnten"
"Buletinul Academiei de Stiinte a Republicii Moldova. Matematica";0,8;"23.0%
306/399
General Mathematics";60;77;30;0,444;0,19;"Publishing and Printing State Enterprise Stiinta"
"Quaderni Costituzionali";0,4;"28.0%
730/1025
Law";60;148;27;0,553;0,25;"Il Mulino publishing house"
"Journal of Engineering Research";0,7;"15.0%
261/307
General Engineering";60;90;33;0,283;"N/A";"Sultan Qaboos University"
"Review of Derivatives Research";1,4;"46.0%
130/242
Economics, Econometrics and Finance (miscellaneous)";60;42;71;0,46;0,278;"Springer Nature"
"Pamatky Archeologicke";2,3;"88.0%
50/413
Archeology (arts and humanities)";60;26;58;2,178;0,735;"Institute of Archealogy of the Academy of Sciences of the Czech Republic"
"Tokyo Journal of Mathematics";0,7;"16.0%
331/399
General Mathematics";60;92;37;0,613;0,18;"Publication Committee for the Tokyo Journal of Mathematics"
"Jezyk Polski";0,4;"44.0%
603/1088
Language and Linguistics";60;143;24;1,026;0,247;"Towarzystwo Milosnikow Jezyka Polskiego"
"Kepes";0,5;"70.0%
198/667
Visual Arts and Performing Arts";60;120;27;0,359;0,151;"Departamento de Diseno Visual, Universidad de Caldas"
"Current Treatment Options in Pediatrics";0,6;"25.0%
247/330
Pediatrics, Perinatology and Child Health";60;93;32;0,155;0,159;"Springer Nature"
"Interpersona";1;"73.0%
351/1304
Cultural Studies";60;62;42;0,483;0,295;"PsychOpen"
"Journal of Operational Risk";1;"22.0%
247/317
Finance";60;63;40;0,229;0,168;"Incisive Media Ltd."
"Methods of Functional Analysis and Topology";0,6;"13.0%
74/85
Mathematical Physics";60;100;31;0,316;0,146;"Institute of Mathematics NAS of Ukraine"
"Revista de Derecho Administrativo Economico";0,6;"37.0%
644/1025
Law";60;103;32;1,136;0,249;"Pontifica Universidad Catolica de Chile, Programa de Derecho Administrativo Economico"
"MHSalud";0,8;"21.0%
194/247
Physical Therapy, Sports Therapy and Rehabilitation";60;78;36;0,369;0,168;"Universidad Nacional"
"Kamchatka";0,3;"64.0%
391/1106
Literature and Literary Theory";60;187;24;0,649;0,191;"Universitat de Valencia, Faculty of Philology, Translation and Communication"
"Bibliotecas, Anales de Investigacion";0,5;"29.0%
199/280
Library and Information Sciences";60;111;29;0,572;0,127;"Biblioteca Nacional de Cuba Jose Marti"
"Acta Bioethica";0,6;"14.0%
267/310
Health Policy";60;108;33;0,415;0,163;"Universidad de Chile - Centro Interdisciplinario de Estudios en Bioetica"
"OEconomia";0,6;"70.0%
514/1760
History";60;98;34;0,633;0,202;"Association Oeconomia"
"International Real Estate Review";0,8;"37.0%
176/279
Urban Studies";60;78;40;0,468;0,19;"Global Social Science Institute"
"Revista de Pensamiento Estrategico y Seguridad CISDE";1,4;"90.0%
160/1760
History";60;43;40;0,544;0,112;"United Academic Journals (UA Journals)"
