Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Nature Immunology,0.6115608386603029,0.04415145051120373,11.697959183673474,57.80231588287489,4.0194670753676975,54.97715119249281
Nature Reviews Microbiology,0.4289371944088146,0.10141093474426809,16.428571428571427,87.47978232618584,3.57948343079922,54.599561403508766
Reviews of Geophysics,0.9112845487845487,0.19014084507042256,3.8571428571428568,170.53619047619048,14.25095238095238,53.79166666666667
American Journal of Kidney Diseases,0.6087696571337524,0.022697923096453285,15.054325955734413,16.85978412364416,0.8509716179934482,53.635458377461426
The Lancet Global Health,1,0.043900202330994335,17.268221574344032,66.4578236489401,4.6354652510354795,53.581584010227466
Nature Reviews Endocrinology,0.33940481852804294,0.4971936389148738,75.92857142857143,70.57561817658119,1.2545682421979998,53.526339365168404
British Journal of General Practice,0.9015306659196113,0.008083745201045617,3.082417582417582,14.863141025641026,5.6508547008547,52.84700854700855
MMWR Surveillance Summaries,1,0.19402985074626866,1.8571428571428574,50.76470588235294,6.588235294117647,52.14705882352941
Nature Plants,0.47157856685790966,0.0410958904109589,9.85714285714286,61.38787254412255,4.278076090576091,51.53126873126874
Critical Care,1,0.07035256410256412,31.357142857142872,26.95854758543177,0.3093851654486407,51.07710295822892
Nephrology Dialysis Transplantation,0.6372161801339686,0.029757119128225557,56.16571428571427,3.0354305251440326,0.02710699895403186,50.68624305186001
Med,0.6906805924048727,0.09968787515006004,6.726890756302521,13.255748663101604,3.709173669467787,50.21646931499873
Nature Reviews Neurology,0.37239062219756863,0.10630291627469425,16.142857142857142,89.2019677244458,1.7873777457110789,50.195870041264776
Nature Chemical Biology,0.5437537804959254,0.027838302081123065,6.7482993197278915,45.57831546760118,3.378779289493575,49.765742458599604
JACC Cardiovascular Imaging,0.6672114122616358,0.041497651371495796,14.073260073260075,52.51903940188406,0.1353735869864902,49.59301056555473
The Lancet Gastroenterology & Hepatology,0.29092340669477545,0.06461173681090694,15.571428571428575,83.84453097028288,3.716568206229861,49.14436985320443
Brain,0.8924893755353784,0.08681323449135515,36.336405529953915,25.337023668737594,1.9384636215912308,49.136927079503074
Journal of Experimental Medicine,0.9328420557573,0.10801713586291307,25.21428571428571,45.050806952570206,3.1787651999786743,49.03137378883692
JAMA Cardiology,0.47623486179076246,0.022924076413655244,6.604395604395602,29.27393077008461,3.728521051597973,48.88023728408344
PLOS Medicine,1,0.04964643273757207,12.15934065934066,46.89312665891614,29.754635325687957,48.719598043282254
Neuron,0.8668893703059022,0.029391059486096452,11.928571428571432,40.43867424880356,10.6693551499586,48.53640934416797
Diabetologia,0.9489237057710062,0.027439806683977237,6.49404761904762,28.461479955229958,2.3809981684981683,48.4350808913309
American Journal of Men's Health,1,0.03580038483939221,3.609022556390977,9.437635756056807,3.863157894736842,48.3483291562239
Journal of Adolescent Health,0.5893833970042678,0.01970778117567109,11.047619047619047,11.377580421378378,3.396281545961854,48.15045983664909
Expert Review of Clinical Immunology,0.2947134223455322,0.12681036077705826,14.7629179331307,20.111323415426543,0.23624554968173483,47.31062160085346
The Journal of Steroid Biochemistry and Molecular Biology,0.30087558707728523,0.16058052434456926,24.5,13.955882882611096,0.7396176016012971,46.40293468098068
npj Climate and Atmospheric Science,1,0.6721536351165981,70,31.552088318124483,5.391449574347736,46.18157397731327
Cardiovascular Research,0.8122335411532285,0.02222942030491984,9.410183875530414,38.954632957867105,14.392950332014795,45.82048956591937
Acta Materia Medica,1,0.16304347826086957,2.142857142857143,3.6666666666666665,2.142857142857143,45.42857142857142
JAMA Surgery,0.4028254713391579,0.027057756932784092,10.95488721804511,38.39013527543461,3.7516960939047013,45.02440898340359
Bipolar Disorders,0.5326332269880657,0.020512820512820513,1.714285714285714,10.288461538461538,0,44.80769230769231
Scandinavian Journal of Medicine and Science in Sports,0.5882802780552611,0.013372956909361066,2.5714285714285716,16.05701754385965,0.15789473684210525,44.71491228070175
Cell Genomics,1,0.0755287009063444,3.5714285714285716,9.183333333333334,3.5666666666666664,44.53333333333334
Cell Host & Microbe,0.8776783185752801,0.0744160538138308,14.48432055749129,53.090282225855,2.79095905180488,44.46601948708076
European Journal of Sport Science,0.46022248854660563,0.018628281117696866,3.142857142857143,15.351851851851855,0.9444444444444444,43.714814814814815
Nature Aging,0.5210517015421968,0.021865889212827987,2.142857142857143,19.25,3.381944444444444,43.645833333333336
European Journal of Heart Failure,0.7999950949407756,0.020203961138450913,6.282857142857146,55.431602569257365,1.1897186147186147,43.32830071502285
Current Biology,0.9075920949576132,0.019528815186536028,17.025210084033617,34.91140514242289,8.805093937371657,43.29396539847496
American Journal of Biological Anthropology,0.4881887851229184,0.016900456729904128,2.7714285714285714,15.21031746031746,4.466666666666667,43.28015873015873
Nature Reviews Cardiology,0.38866524000468367,0.03514774993376006,5.4772727272727275,76.8815268065268,0.8498834498834498,42.64699883449884
Cell Stem Cell,0.8788575606526976,0.1032544071759758,18.226890756302524,57.52853351199986,6.067564781648384,42.46406225630191
Aerosol Science and Technology,0.6196205359700555,0.4560906515580737,46,9.2334994982096,0.9595917195621583,42.412075303042535
Nature Communications,1,0.020448448858400716,142.65714285714284,52.40842761178313,8.21138780816944,41.94702895586198
Archives of Sexual Behavior,0.4595187172994171,0.014979023646071702,3.6766917293233083,14.018483709273184,0.9677944862155388,41.0562656641604
Journal of the National Cancer Institute,0.866398089375636,0.1064929693961952,24.523809523809536,30.242618356185922,11.973370702523063,40.912702099780574
Physiological Reviews,0.5587952525843993,0.08834058277839792,3.685714285714286,88.97111111111113,3.0166666666666666,40.80777777777778
JACC CardioOncology,1,0.07522939197218578,6.945714285714285,22.99310714285714,0.8682261904761903,40.49830952380953
Primates,0.4254613778611088,0.037900874635568516,1.8571428571428572,10.696296296296294,4.0740740740740735,40.08888888888889
