"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Macroeconomic Dynamics";2,1;"42.0%
409/716
Economics and Econometrics";510;241;63;0,659;0,491;"Cambridge University Press"
"Cognitive Neuropsychology";5,5;"90.0%
52/552
Arts and Humanities (miscellaneous)";510;92;70;1,231;0,764;"Taylor & Francis"
"Pacific Accounting Review";3,8;"66.0%
108/317
Finance";510;135;79;1,077;0,436;"Emerald Publishing"
"IMF Economic Review";5,5;"90.0%
29/288
General Economics, Econometrics and Finance";510;93;77;2,576;3,286;"Springer Nature"
"Topics in Spinal Cord Injury Rehabilitation";3,2;"68.0%
51/161
Rehabilitation";510;160;58;1,923;0,672;"Allen Press"
"Insect Systematics and Diversity";5,3;"89.0%
50/490
Animal Science and Zoology";510;97;84;1,739;1,197;"Oxford University Press"
"Evolutionary Bioinformatics";4,2;"71.0%
208/721
Ecology, Evolution, Behavior and Systematics";510;122;72;0,394;0,421;"Libertas Academica"
"Current Reviews in Clinical and Experimental Pharmacology";4,8;"83.0%
14/80
General Pharmacology, Toxicology and Pharmaceutics";510;107;85;0,647;0,44;"Bentham Science Publishers"
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali";3,8;"92.0%
17/223
History and Philosophy of Science";510;133;71;0,281;0,216;"Accademia Peloritana dei Pericolanti"
"Indian Journal of Radiology and Imaging";1,2;"26.0%
244/333
Radiology, Nuclear Medicine and Imaging";510;422;51;0,579;0,286;"Thieme"
"Cuadernos de Economia";3,8;"80.0%
58/288
General Economics, Econometrics and Finance";510;134;58;0,596;0,432;"Asociacion Cuadernos de Economia"
"Online Journal of Communication and Media Technologies";3,4;"76.0%
120/511
Communication";510;151;62;0,706;0,287;"Bastas"
"Journal of Internet Services and Information Security";3,9;"63.0%
49/133
Computer Science (miscellaneous)";510;130;56;0,997;0,35;"Innovative Information Science and Technology Research Group"
"International Journal of Advances in Soft Computing and its Applications";3,3;"45.0%
449/817
Computer Science Applications";510;155;51;0,859;0,272;"Al-Zaytoonah University of Jordan"
"REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion";4;"95.0%
60/1304
Cultural Studies";511;127;72;1,88;0,8;"Universidad Autonoma de Madrid"
"Iranian Journal of Parasitology";1,8;"29.0%
56/79
Parasitology";511;292;57;0,412;0,297;"Tehran University of Medical Sciences"
"Australian Journal of International Affairs";3,2;"80.0%
141/706
Political Science and International Relations";511;159;71;1,385;0,636;"Taylor & Francis"
"Studies in Conservation";1,8;"85.0%
15/103
Conservation";511;278;62;0,705;0,265;"Taylor & Francis"
"International Statistical Review";4,3;"85.0%
40/278
Statistics and Probability";511;119;73;1,765;1,048;"John Wiley & Sons"
"Contemporary Politics";4,3;"87.0%
86/706
Political Science and International Relations";511;120;79;1,731;0,801;"Taylor & Francis"
"Contemporary Readings in Law and Social Justice";6,4;"96.0%
33/1025
Law";511;80;88;0,45;0,368;"Addleton Academic Publishers"
"Chemical Methodologies";3,1;"35.0%
122/189
Physical and Theoretical Chemistry";511;166;71;"N/A";"N/A";"Sami Publishing Company"
"Latin American Journal of Aquatic Research";1,7;"36.0%
92/145
Oceanography";511;294;57;0,53;0,279;"Escuela de Ciencias del Mar"
"International Journal of Nanoelectronics and Materials";1,2;"22.0%
616/797
Electrical and Electronic Engineering";511;423;39;0,377;0,167;"Universiti Malaysia Perlis"
"Journal of Family Research";4,1;"84.0%
92/604
Social Sciences (miscellaneous)";511;125;73;"N/A";"N/A";"University of Bamberg"
"Wounds";1,5;"71.0%
8/26
Medical and Surgical Nursing";512;338;49;0,45;0,301;"HMP Communications"
"Yejin Fenxi/Metallurgical Analysis";0,8;"23.0%
135/176
Metals and Alloys";512;612;42;0,515;0,197;"Central Iron and Steel Research Institute"
"Journal of Wood Chemistry and Technology";3,7;"52.0%
193/408
General Chemistry";512;140;71;0,551;0,391;"Taylor & Francis"
"Capitalism, Nature, Socialism";4,9;"91.0%
63/706
Political Science and International Relations";512;104;64;1,437;0,883;"Taylor & Francis"
"IEEE Solid-State Circuits Magazine";2,5;"42.0%
462/797
Electrical and Electronic Engineering";512;207;45;1,375;0,436;"IEEE"
"Economic and Political Studies";5,6;"93.0%
43/706
Political Science and International Relations";512;91;76;0,952;0,473;"Taylor & Francis"
"Wiener Medizinische Wochenschrift";2,5;"67.0%
210/636
General Medicine";512;208;58;0,526;0,399;"Springer Nature"
"DYNA (Colombia)";1,3;"30.0%
213/307
General Engineering";512;406;43;0,264;0,164;"Universidad Nacional de Colombia"
"Human-Machine Communication";10;"97.0%
13/604
Social Sciences (miscellaneous)";512;51;76;1,778;1,771;"Communication and Social Robotics Labs"
"Egyptian Rheumatologist";2;"32.0%
50/73
Rheumatology";512;252;68;0,56;0,328;"Egyptian Society for Joint Diseases and Arthritis"
