"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Software Testing Verification and Reliability";3,7;"62.0%
79/207
Safety, Risk, Reliability and Quality";300;82;68;0,837;0,431;"John Wiley & Sons"
"Brain, Behavior and Evolution";3,1;"31.0%
61/88
Behavioral Neuroscience";300;98;74;0,708;0,778;"Karger"
"Medical Cannabis and Cannabinoids";6;"81.0%
20/105
Complementary and Alternative Medicine";300;50;68;1,006;0,731;"Karger"
"Sydowia";3,3;"63.0%
191/516
Plant Science";300;92;58;0,546;0,373;"Verlag Ferdinand Berger und Sohne GmbH"
"Journal of Global Mobility";3,2;"52.0%
211/443
Business and International Management";300;94;69;0,804;0,53;"Emerald Publishing"
"Journal of Biomimetics, Biomaterials and Biomedical Engineering";1,4;"23.0%
239/311
Biotechnology";300;209;49;0,274;0,167;"Trans Tech Publications"
"Maastricht Journal of European and Comparative Law";2;"74.0%
257/1025
Law";300;153;61;"N/A";0,348;"SAGE"
"Journal of Social Computing";3,8;"80.0%
98/511
Communication";300;78;60;0,825;0,371;"Tsinghua University Press"
"European Review of Economic History";2,6;"96.0%
54/1760
History";300;114;71;1,285;1,058;"Oxford University Press"
"Women and Criminal Justice";2,6;"82.0%
181/1025
Law";300;114;73;0,686;0,41;"Taylor & Francis"
"Revista de Economia e Sociologia Rural";1,1;"47.0%
145/275
General Social Sciences";300;264;49;0,536;0,281;"Sociedade Brasileira de Economia e Sociologia Rural"
"CSIAM Transactions on Applied Mathematics";2,7;"58.0%
261/635
Applied Mathematics";300;111;50;0,848;0,786;"Global Science Press"
"Dermatologica Sinica";2,8;"56.0%
62/142
Dermatology";300;107;79;0,463;0,451;"Elsevier"
"Cardiovascular Journal of Africa";1,3;"27.0%
280/387
Cardiology and Cardiovascular Medicine";300;223;52;0,248;0,302;"Clinics Cardive Publishing (PTY)Ltd"
"International Journal of Agricultural and Environmental Information Systems";6,7;"73.0%
105/394
Information Systems";300;45;76;0,809;0,323;"IGI Global Publishing"
"Mathematics of Control, Signals, and Systems";2,9;"63.0%
233/635
Applied Mathematics";300;102;69;1,509;0,918;"Springer Nature"
"Shiyan Liuti Lixue/Journal of Experiments in Fluid Mechanics";1;"20.0%
122/153
Aerospace Engineering";300;309;41;0,55;0,192;"Zhongguo Kongqi Dongli Yanjiu yu Fazhan Zhongxin"
"Journal of Toxicologic Pathology";2,1;"42.0%
120/208
Pathology and Forensic Medicine";300;141;60;0,562;0,308;"Japanese Society of Toxicologic Pathology"
"Archivos de Cardiologia de Mexico";0,8;"17.0%
319/387
Cardiology and Cardiovascular Medicine";300;354;38;0,345;0,194;"Instituto Nacional de Cardiologia Ignazio Chavez"
"Veterinarska Stanica";1,1;"37.0%
121/194
General Veterinary";300;265;41;0,284;0,204;"Croatian Veterinary Institute"
"Psicologia Educativa";3,5;"58.0%
128/310
Social Psychology";300;85;69;0,93;0,556;"Colegio Oficial de Psicologos de Madrid"
"Lecture Notes in Production Engineering";0,6;"22.0%
189/242
Economics, Econometrics and Finance (miscellaneous)";300;504;27;"N/A";"N/A";"Springer Nature"
"Recent Advances in Ophthalmology";0,3;"14.0%
118/137
Ophthalmology";300;900;24;0,068;0,118;"Xinxiang Medical University"
"Journal of Computational Analysis and Applications";1,3;"24.0%
143/189
Computational Mathematics";300;238;42;0,442;0,19;"Eudoxus Press, LLC"
"Journal of Park and Recreation Administration";1,9;"61.0%
232/604
Social Sciences (miscellaneous)";300;158;59;0,504;0,38;"Sagamore Publishing LLC"
"Russian Journal of Marine Biology";1;"18.0%
202/247
Aquatic Science";300;292;42;0,412;0,207;"Pleiades Publishing"
"RUDN Journal of Language Studies, Semiotics and Semantics";1,2;"72.0%
297/1088
Language and Linguistics";300;260;42;0,94;0,482;"Peoples' Friendship University of Russia"
"International Conference on Agents and Artificial Intelligence";0,6;"8.0%
321/350
Artificial Intelligence";300;472;36;0,336;"N/A";"Science and Technology Publications, Lda"
"Natural Product Sciences";1,8;"21.0%
123/157
Drug Discovery";301;165;57;0,325;0,211;"Korean Society of Pharmacognosy"
"Literacy";3;"88.0%
131/1088
Language and Linguistics";301;102;69;1,098;0,477;"John Wiley & Sons"
"Physiotherapy Canada. Physiotherapie Canada";1,9;"41.0%
144/247
Physical Therapy, Sports Therapy and Rehabilitation";301;158;71;0,684;0,354;"University of Toronto Press"
"Clinical Infection in Practice";2,1;"33.0%
230/344
Infectious Diseases";301;146;53;0,403;0,358;"Elsevier"
"Analysis";1,3;"77.0%
178/806
Philosophy";301;239;44;1,022;0,941;"Oxford University Press"
"Neurosciences";1,4;"26.0%
418/567
Psychiatry and Mental Health";301;216;53;0,426;0,276;"Saudi Arabian Armed Forces Hospital"
"International Journal of Simulation and Process Modelling";1,8;"40.0%
377/635
Applied Mathematics";301;164;59;0,258;0,209;"Inderscience Publishers"
"Journal of Women and Minorities in Science and Engineering";3,3;"79.0%
44/213
Gender Studies";301;91;73;1,225;0,523;"Begell House"
