"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Glass Technology: European Journal of Glass Science and Technology Part A";0,3;"8.0%
117/127
Ceramics and Composites";13;41;20;0,225;0,119;"Society of Glass Technology"
"Kerygma und Dogma";0,2;"30.0%
446/644
Religious Studies";13;64;13;0,712;0,118;"Vandenhoeck and Ruprecht"
"Anuario Filosofico";0,2;"22.0%
621/806
Philosophy";13;73;14;0,378;0,104;"Servicio de Publicaciones de la Universidad de Navarra"
"Lekar a Technika";0,3;"2.0%
149/152
Biophysics";13;48;19;0,075;0,105;"Czech Medical Association J.E. Purkyne"
"Contemporary Sociology";0,2;"10.0%
1314/1466
Sociology and Political Science";13;58;9;1,199;0,124;"American Sociological Association"
"Loquens";0,3;"33.0%
773/1167
Linguistics and Language";13;40;25;0,368;0,209;"CSIC Consejo Superior de Investigaciones Cientificas"
"Eighteenth-Century Music";0,2;"16.0%
151/180
Music";13;86;12;0;0,1;"Cambridge University Press"
"Plainsong and Medieval Music";0,5;"54.0%
82/180
Music";13;25;28;1,427;0,238;"Cambridge University Press"
"Berkeley Planning Journal";1,4;"38.0%
504/821
Geography, Planning and Development";13;9;33;0,618;0,147;"University of California, Berkeley"
"American Periodicals";0,2;"51.0%
534/1106
Literature and Literary Theory";13;56;18;0,689;0,123;"Ohio State University Press"
"Iron and Steel Technology";0,4;"11.0%
156/176
Metals and Alloys";13;30;33;0,303;0,14;"Iron and Steel Society"
"Handbook of Magnetic Materials";2,2;"39.0%
484/797
Electrical and Electronic Engineering";13;6;100;"N/A";"N/A";"Elsevier"
"EJC Paediatric Oncology";0,2;"24.0%
33/43
Dentistry (miscellaneous)";13;53;21;"N/A";"N/A";"Elsevier"
"Souls";0,4;"45.0%
708/1304
Cultural Studies";13;31;26;0;0,141;"Taylor & Francis"
"Antik Tanulmanyok";0,2;"45.0%
604/1106
Literature and Literary Theory";13;68;13;0,66;0,1;"Akademiai Kiado"
"Research in the Sociology of Work";0,7;"32.0%
991/1466
Sociology and Political Science";13;19;37;0,706;0,698;"Emerald Publishing"
"First World War Studies";0,3;"46.0%
945/1760
History";13;42;19;0,687;0,108;"Taylor & Francis"
"International Journal of Military History and Historiography";0,2;"33.0%
1164/1760
History";13;60;17;0,205;0,101;"Brill"
"Nuncius Series";1,2;"89.0%
69/667
Visual Arts and Performing Arts";13;11;55;0;0,111;"Brill"
"Welding and Cutting";0,3;"7.0%
163/176
Metals and Alloys";13;42;19;0,027;0,114;"Deutscher Verlag fur Schweisstechnik GmbH"
"Ancient Judaism and Early Christianity";0,4;"66.0%
57/170
Classics";13;33;33;0;0,133;"Brill"
"Archives of Asian Art";0,4;"63.0%
243/667
Visual Arts and Performing Arts";13;31;39;0,374;0,113;"University of Hawaii Press"
"Palgrave Studies in Cultural Heritage and Conflict";0,2;"27.0%
1270/1760
History";13;75;12;"N/A";"N/A";"Springer Nature"
"Fruhmittelalterliche Studien";0,2;"34.0%
1148/1760
History";13;58;16;0;0,101;"Walter de Gruyter"
"Muslim World Journal of Human Rights";0,6;"37.0%
641/1025
Law";13;22;41;0,56;0,129;"Walter de Gruyter"
"Cuadernos Dieciochistas";0,2;"45.0%
604/1106
Literature and Literary Theory";13;68;15;0,654;0,111;"Ediciones Universidad de Salamanca"
"Art History and Criticism";0,3;"53.0%
310/667
Visual Arts and Performing Arts";13;41;24;0,292;0,102;"Walter de Gruyter"
"Luso-Brazilian Review";0,3;"60.0%
434/1106
Literature and Literary Theory";13;44;20;1,086;0,17;"University of Wisconsin Press"
"Cambridge Quarterly";0,2;"42.0%
635/1106
Literature and Literary Theory";13;72;8;0,162;0,101;"Oxford University Press"
"Oncology Issues";0,2;"4.0%
296/310
Health Policy";13;75;13;0,037;0,11;"Slack, Inc."
"Romance Studies";0,2;"47.0%
585/1106
Literature and Literary Theory";13;65;15;0,57;0,111;"Taylor & Francis"
"Dix-Septieme Siecle";0,1;"16.0%
923/1106
Literature and Literary Theory";13;198;6;0,239;0,108;"Presses Universitaires de France"
"Oxford German Studies";0,1;"31.0%
758/1106
Literature and Literary Theory";13;106;11;"N/A";0,104;"Taylor & Francis"
"Italian Culture";0,3;"57.0%
465/1106
Literature and Literary Theory";13;48;25;1,181;0,101;"Taylor & Francis"
"American Nineteenth Century History";0,3;"43.0%
997/1760
History";13;45;22;0,061;0,101;"Taylor & Francis"
"Slavia Orientalis";0,1;"23.0%
849/1106
Literature and Literary Theory";13;148;5;0,517;0,121;"Panstwowe Wydawnictwo Naukowe"
"Revista de Biologia Neotropical / Journal of Neotropical Biology";0,4;"6.0%
461/490
Animal Science and Zoology";13;30;27;0,272;0,125;"Universidade Federal De Goias (UFG)"
"Balkan Journal of Philosophy";0,2;"22.0%
624/806
Philosophy";13;74;14;0,314;0,132;"Bulgarska Akademiya na Naukite"
"International Journal of Strategic Change Management";0,9;"14.0%
411/478
Strategy and Management";13;15;27;0,118;0,126;"Inderscience Publishers"
"Spiritus";0,2;"29.0%
1235/1760
History";13;69;13;0,462;0,141;"Johns Hopkins University Press"
"International Journal of Environment, Workplace and Employment";0,3;"4.0%
221/230
Organizational Behavior and Human Resource Management";13;41;12;0,083;0,131;"Inderscience Publishers"
"Jewish Film and New Media";0,5;"71.0%
192/667
Visual Arts and Performing Arts";13;25;32;0,699;0,121;"Wayne State University Press"
"Renewable Resources Journal";0,2;"4.0%
224/233
General Environmental Science";13;55;13;0,143;0,107;"Renewable Natural Resources Foundation"
"Library and Information History";0,4;"34.0%
146/223
History and Philosophy of Science";13;35;23;0,719;0,101;"Edinburgh University Press"
"Queensland Review";0,3;"60.0%
441/1106
Literature and Literary Theory";13;45;20;0,265;0,11;"Equinox Publishing Ltd"
"Teaching of Mathematics";0,3;"8.0%
1410/1543
Education";13;38;21;0,642;0,108;"Drustvo Matematicara Srbije"
"Western Historical Quarterly";0,3;"39.0%
1064/1760
History";13;51;18;0,701;0,101;"Oxford University Press"
"Oxford Art Journal";0,2;"31.0%
455/667
Visual Arts and Performing Arts";13;82;15;0,387;0,127;"Oxford University Press"
