"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"OR Spectrum";4,9;"78.0%
41/189
Business, Management and Accounting (miscellaneous)";730;149;69;1,177;0,958;"Springer Nature"
"Food and Nutrition Bulletin";4,1;"73.0%
219/821
Geography, Planning and Development";730;176;76;0,897;0,657;"SAGE"
"International Journal of Automation Technology";2,1;"48.0%
199/384
Industrial and Manufacturing Engineering";730;340;63;0,58;0,404;"Fuji Technology Press"
"Journal of Contemporary Asia";4,9;"97.0%
38/1304
Cultural Studies";730;148;81;1,83;0,785;"Taylor & Francis"
"Solvent Extraction and Ion Exchange";4,4;"59.0%
111/273
General Chemical Engineering";730;167;77;1,053;0,378;"Taylor & Francis"
"Kuwait Journal of Science";1,6;"63.0%
63/171
";730;447;52;0,732;0,231;"Elsevier"
"Pain Management";2,9;"57.0%
58/136
Anesthesiology and Pain Medicine";730;249;62;0,653;0,478;"Taylor & Francis"
"Drugs in R and D";5,1;"51.0%
151/313
Pharmacology";730;143;70;0,837;0,708;"Springer Nature"
"Plastics, Rubber and Composites";4,1;"56.0%
120/273
General Chemical Engineering";730;180;78;0,646;0,369;"SAGE"
"Mineral Deposits";2,4;"52.0%
153/321
Geology";730;299;61;0,768;0,456;"Editorial Department of Mineral Deposits"
"Measuring Business Excellence";5,7;"73.0%
61/230
Organizational Behavior and Human Resource Management";731;129;85;1,219;0,672;"Emerald Publishing"
"ECNU Review of Education";4,9;"81.0%
280/1543
Education";731;150;78;1,336;0,611;"SAGE"
"Journal of Advanced Prosthodontics";4,7;"91.0%
4/43
Dentistry (miscellaneous)";731;156;74;1,261;0,94;"The Korean Academy of prosthodontics"
"Affective Science";4,4;"69.0%
96/311
Clinical Psychology";731;165;82;1,317;1,377;"Springer Nature"
"Weed Research";4,3;"72.0%
200/721
Ecology, Evolution, Behavior and Systematics";732;171;77;0,863;0,519;"John Wiley & Sons"
"Perception";2,8;"55.0%
62/137
Ophthalmology";732;260;65;0,816;0,584;"SAGE"
"Australian Journal of Forensic Sciences";3,2;"55.0%
92/208
Pathology and Forensic Medicine";732;227;76;0,853;0,471;"Taylor & Francis"
"Dongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Southeast University (Natural Science Edition)";1,3;"31.0%
212/307
General Engineering";732;572;50;0,458;0,247;"Southeast University"
"High Altitude Medicine and Biology";3,8;"60.0%
260/665
Public Health, Environmental and Occupational Health";732;191;70;0,684;0,475;"Mary Ann Liebert"
"Wiley Interdisciplinary Reviews: Computational Statistics";6,2;"92.0%
20/278
Statistics and Probability";732;118;76;1,887;1,043;"John Wiley & Sons"
"Neftyanoe khozyaystvo - Oil Industry";0,7;"21.0%
101/128
Fuel Technology";732;985;36;0,592;0,258;"Neftyanoe Khozyaistvo"
"Journal of Distribution Science";1,5;"32.0%
481/716
Economics and Econometrics";732;480;45;0,274;0,182;"KODISA Foundation"
"Journal of the American Helicopter Society";4,1;"71.0%
44/153
Aerospace Engineering";733;178;72;1,171;0,739;
"Journal of Social Entrepreneurship";9,6;"93.0%
20/306
Development";733;76;96;1,261;0,871;"Taylor & Francis"
"Clinical, Cosmetic and Investigational Dentistry";3,9;"67.0%
44/132
General Dentistry";733;189;74;1,113;0,49;"Dove Medical Press"
"Journal of Vocational Education and Training";5,2;"83.0%
257/1543
Education";733;140;84;1,546;0,727;"Taylor & Francis"
"Gaofenzi Cailiao Kexue Yu Gongcheng/Polymeric Materials Science and Engineering";0,6;"18.0%
132/161
Polymers and Plastics";733;1185;37;0,226;0,139;"Chengdu University of Science and Technology"
"Hepatoma Research";3,2;"43.0%
47/82
Hepatology";733;232;68;0,369;0,417;"OAE Publishing Inc."
"World Journal of Otorhinolaryngology - Head and Neck Surgery";4,1;"76.0%
128/551
Surgery";733;179;70;1,287;0,551;"John Wiley & Sons"
"Array";4,4;"68.0%
74/232
General Computer Science";734;166;73;1,564;0,723;"Elsevier"
"Forces in Mechanics";3,5;"57.0%
285/672
Mechanical Engineering";734;208;71;1,231;0,59;"Elsevier"
"Population Health Metrics";6,5;"83.0%
113/665
Public Health, Environmental and Occupational Health";734;113;80;1,6;1,646;"Springer Nature"
"Health Services Insights";3,6;"59.0%
127/310
Health Policy";734;206;58;1,072;0,922;"SAGE"
"Journal of Library Administration";2,7;"70.0%
83/280
Library and Information Sciences";734;270;60;1,045;0,702;"Taylor & Francis"
"Science of Nature";3,4;"63.0%
263/721
Ecology, Evolution, Behavior and Systematics";734;217;70;0,808;0,535;"Springer Nature"
"Journal of Bronchology and Interventional Pulmonology";4,4;"56.0%
67/155
Pulmonary and Respiratory Medicine";734;168;74;0,848;0,489;"Wolters Kluwer Health"
"Brazilian Journal of Nephrology";2,2;"40.0%
49/81
Nephrology";734;334;63;0,65;0,349;"Sociedade Brasileira de Nefrologia"
"European Journal of Pure and Applied Mathematics";1,3;"54.0%
55/119
Algebra and Number Theory";734;555;42;1,186;0,436;"New York Business Global"
"Behavior Genetics";4,9;"78.0%
156/721
Ecology, Evolution, Behavior and Systematics";734;149;77;0,815;1,092;"Springer Nature"
"Cell Regeneration";5,8;"61.0%
32/82
Developmental Biology";734;127;80;0,618;1,047;"Springer Nature"
"Global Advances in Integrative Medicine and Health";4;"79.0%
134/636
General Medicine";735;184;76;0,771;0,638;"SAGE"
"Malaysian Journal of Pathology";3,6;"59.0%
84/208
Pathology and Forensic Medicine";735;203;45;0,377;0,271;"Malaysian Society of Pathologists"
"Journal of Developmental Biology";4,1;"42.0%
48/82
Developmental Biology";735;179;74;0,656;0,923;"Multidisciplinary Digital Publishing Institute (MDPI)"
"Journal of Resources and Ecology";2,4;"48.0%
373/721
Ecology, Evolution, Behavior and Systematics";735;310;60;0,714;0,438;"Editorial office of Journal of Resources and Ecology"
"European Financial Management";4,3;"83.0%
47/288
General Economics, Econometrics and Finance";736;171;74;1,434;0,874;"John Wiley & Sons"
"Therapeutic Advances in Hematology";4,3;"55.0%
62/137
Hematology";736;172;77;0,915;1,258;"SAGE"
"Sao Paulo Medical Journal";2,2;"64.0%
226/636
General Medicine";736;329;64;0,384;0,367;"Associacao Paulista de Medicina"
"Behavioral Medicine";5,3;"67.0%
182/567
Psychiatry and Mental Health";736;138;91;1,126;1,033;"Taylor & Francis"
"Current Research in Nutrition and Food Science";1,8;"45.0%
216/398
Medicine (miscellaneous)";736;402;55;0,433;0,245;"Enviro Research Publishers"
"Colloid Journal";2,2;"27.0%
138/189
Physical and Theoretical Chemistry";736;338;67;0,527;0,239;"Pleiades Publishing"
"Expert Review of Endocrinology and Metabolism";4,8;"53.0%
115/244
Endocrinology, Diabetes and Metabolism";737;155;77;0,718;0,904;"Taylor & Francis"
"Borderline Personality Disorder and Emotion Dysregulation";6;"81.0%
59/311
Clinical Psychology";737;122;68;1,753;1,373;"Springer Nature"
"Policy Futures in Education";3,1;"66.0%
519/1543
Education";737;239;71;1,035;0,623;"Symposium Journals Ltd"
"SAE International Journal of Vehicle Dynamics, Stability, and NVH";6,4;"86.0%
18/130
Control and Optimization";737;116;88;2,204;0,854;"SAE"
"Expert Opinion on Emerging Drugs";5,9;"70.0%
80/272
Pharmacology (medical)";738;126;81;0,727;0,881;"Taylor & Francis"
"Architectural Science Review";4,8;"89.0%
20/189
Architecture";738;154;73;1,03;0,513;"Taylor & Francis"
"Health Psychology and Behavioral Medicine";3,5;"64.0%
133/371
Health (social science)";738;210;63;1,052;0,814;"Taylor & Francis"
"Discrete and Computational Geometry";1,8;"72.0%
30/106
Geometry and Topology";738;406;58;1,197;0,577;"Springer Nature"
"Iranian Journal of Allergy, Asthma and Immunology";2,6;"29.0%
164/233
Immunology and Allergy";738;289;65;0,326;0,343;"Tehran University of Medical Sciences"
"Lecture Notes in Educational Technology";1;"27.0%
1117/1543
Education";738;738;28;"N/A";"N/A";"Springer Nature"
"Genus";5,8;"91.0%
12/139
Demography";738;128;80;1,464;1,089;"Springer Nature"
"Fashion and Textiles";4,4;"96.0%
51/1304
Cultural Studies";738;168;76;1,478;0,539;"Springer Nature"
"HNO";1,5;"42.0%
71/123
Otorhinolaryngology";739;480;50;0,301;0,24;"Springer Nature"
"Iranian Journal of Medical Sciences";3,2;"75.0%
11/43
Pharmacology, Toxicology and Pharmaceutics (miscellaneous)";739;232;64;0,716;0,468;"Shiraz University of Medical Sciences"
"Remedial and Special Education";5,7;"86.0%
212/1543
Education";739;129;83;1,856;1,203;"SAGE"
"International Medical Case Reports Journal";1,4;"55.0%
285/636
General Medicine";739;510;45;0,464;0,267;"Dove Medical Press"
"Informatics for Health and Social Care";6,1;"96.0%
2/45
Nursing (miscellaneous)";739;122;84;0,934;0,82;"Taylor & Francis"
"Health Promotion and Chronic Disease Prevention in Canada : Research, Policy and Practice";4,1;"67.0%
102/310
Health Policy";739;179;74;0,813;0,879;"Public Health Agency of Canada"
"Gates Open Research";3,6;"70.0%
9/29
Immunology and Microbiology (miscellaneous) ";739;204;75;0,723;0,629;"Taylor & Francis"
"Journal of Child Health Care";4,1;"90.0%
3/25
Pediatrics";740;182;82;1,121;0,613;"SAGE"
"Geosystems and Geoenvironment";4,7;"75.0%
40/159
Earth and Planetary Sciences (miscellaneous)";740;157;79;1,83;1,207;"Elsevier"
"Journal of Simulation";5,7;"81.0%
60/324
Modeling and Simulation";740;130;78;1,093;0,621;"Taylor & Francis"
"Ethnos";3,8;"93.0%
23/354
Archeology";740;194;84;1,111;0,392;"Taylor & Francis"
"Advances in Cement Research";3,7;"63.0%
82/223
Building and Construction";740;199;69;0,483;0,595;"ICE Publishing Ltd."
"Acta Gastro-Enterologica Belgica";2,8;"42.0%
96/167
Gastroenterology";740;269;68;0,64;0,442;"Universa Press"
"International Journal of Accounting Information Systems";9;"94.0%
10/176
Accounting";740;82;80;2,358;1,127;"Elsevier"
"Journal of Fishery Sciences of China";1,3;"25.0%
297/399
Management, Monitoring, Policy and Law";740;581;50;0,371;0,21;"Chinese Academy of Fishery Sciences"
"Chinese Journal of Chemical Physics";1,9;"25.0%
142/189
Physical and Theoretical Chemistry";741;397;61;0,369;0,352;"American Institute of Physics"
"Journal of Contemporary Brachytherapy";2,4;"41.0%
196/333
Radiology, Nuclear Medicine and Imaging";741;304;62;0,548;0,408;"Termedia Publishing House Ltd."
"ACM Transactions on Cyber-Physical Systems";5,7;"81.0%
24/130
Control and Optimization";741;130;75;0,947;0,806;
"Annales Medico-Psychologiques";1,3;"62.0%
208/552
Arts and Humanities (miscellaneous)";741;577;37;0,601;0,279;"Elsevier"
"Frontiers in Aging";3;"25.0%
259/347
Genetics";741;247;66;0,529;1,062;"Frontiers Media S.A."
"International Journal of Conservation Science";1,7;"83.0%
18/103
Conservation";741;446;49;0,832;0,336;"Romanian Inventors Forum"
"Chinese Journal of Reparative and Reconstructive Surgery";0,8;"40.0%
381/636
General Medicine";741;897;39;"N/A";0,165;"West China University of Medical Science"
"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics";5,9;"72.0%
157/567
Psychiatry and Mental Health";742;125;82;0,698;1,228;"John Wiley & Sons"
"Journal of Language and Social Psychology";5,2;"96.0%
18/502
Anthropology";742;143;80;1,87;1,246;"SAGE"
"Veterinary and Animal Science";3,5;"80.0%
38/194
General Veterinary";742;213;74;0,859;0,487;"Elsevier"
"Journal of Marine Engineering and Technology";6,3;"84.0%
17/105
Ocean Engineering";742;118;86;0,896;0,57;"Taylor & Francis"
"Journal of Neonatal-Perinatal Medicine";2;"45.0%
182/330
Pediatrics, Perinatology and Child Health";742;373;58;0,57;0,383;"IOS Press"
"International Sociology";4,5;"84.0%
235/1466
Sociology and Political Science";742;165;56;1,131;0,647;"SAGE"
"Geoscience";1,4;"32.0%
218/321
Geology";742;541;53;0,446;"N/A";"China University of Geosciences"
"Turkish Journal of Pediatrics";1,4;"38.0%
204/330
Pediatrics, Perinatology and Child Health";742;540;52;0,464;0,287;"Turkish Journal of Pediatrics"
"Water Resources";1,6;"30.0%
181/261
Water Science and Technology";742;460;50;0,661;0,318;"Pleiades Publishing"
"IET Information Security";3,8;"51.0%
193/395
Computer Networks and Communications";743;194;73;0,654;0,48;"John Wiley & Sons"
"American Antiquity";4,9;"99.0%
1/83
Museology";743;153;71;1,587;1,45;"Cambridge University Press"
"Johnson Matthey Technology Review";4,3;"74.0%
46/176
Metals and Alloys";743;172;80;0,583;0,435;"Johnson Matthey Public Limited Company"
"Informatics in Education";6,1;"89.0%
54/511
Communication";743;121;79;1,346;0,813;"Vilnius University Institute of Data Science and Digital Technologies"
"Health Economics Review";3,9;"63.0%
113/310
Health Policy";743;192;69;1,218;0,8;"Springer Nature"
"Dili Yanjiu";1,9;"47.0%
428/821
Geography, Planning and Development";743;397;51;1,155;0,515;"Science China Press"
"Journal of Pharmacological and Toxicological Methods";3,6;"39.0%
189/313
Pharmacology";743;209;71;0,51;0,428;"Elsevier"
"Songklanakarin Journal of Science and Technology";1,1;"45.0%
94/171
";743;695;42;0,271;0,164;"Prince of Songkla University"
"Cryptography";3,8;"75.0%
155/635
Applied Mathematics";743;196;70;1,078;0,538;"Multidisciplinary Digital Publishing Institute (MDPI)"
"Journal of Lipid and Atherosclerosis";6,9;"82.0%
70/387
Cardiology and Cardiovascular Medicine";743;108;81;1,027;1,197;"Korean Society of Lipid and Atherosclerosis"
"Advances in Physics";67,6;"99.0%
1/434
Condensed Matter Physics";744;11;91;10,181;14,78;"Taylor & Francis"
"Chilean Journal of Agricultural Research";3;"69.0%
150/490
Animal Science and Zoology";744;247;68;0,715;0,368;"Instituto de Investigaciones Agropecuarias, INIA"
"Toxicon: X";6,5;"70.0%
40/133
Toxicology";744;114;85;1,03;0,87;"Elsevier"
"Geotectonica et Metallogenia";2,2;"48.0%
167/321
Geology";744;333;60;0,513;0,378;"da di gou zao yu cheng kuang xue bian ji bu"
"Chinese Journal of Nursing";0,8;"31.0%
19/27
Critical Care Nursing";744;895;40;0,254;0,205;"Chinese Nursing Journals Publishing House Co.,Ltd"
"Medical Journal of Chinese People's Liberation Army";1;"44.0%
354/636
General Medicine";744;749;42;0,149;0,129;"People's Military Medical Press"
"Familial Cancer";4,1;"49.0%
205/404
Oncology";744;181;74;0,759;1,016;"Springer Nature"
"Chinese Journal of Chromatography (Se Pu)";1,3;"25.0%
204/273
General Chemical Engineering";745;580;57;0,371;0,193;"Zhongguo Kexueyuan - Chinese Academy of Sciences"
"Journal of Children's Orthopaedics";2,7;"53.0%
154/330
Pediatrics, Perinatology and Child Health";745;281;68;0,868;0,484;"SAGE"
"Advances in Applied Mathematics and Mechanics";2,6;"57.0%
270/635
Applied Mathematics";745;285;63;0,742;0,531;"Cambridge University Press"
