"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Australian and New Zealand Journal of Public Health";4,2;"64.0%
236/665
Public Health, Environmental and Occupational Health";1600;383;72;0,975;0,901;"Elsevier"
"Industrial Robot";4,5;"67.0%
125/384
Industrial and Manufacturing Engineering";1602;355;80;0,851;0,576;"Emerald Publishing"
"Epileptic Disorders";4,1;"51.0%
193/400
Neurology (clinical)";1602;388;68;0,771;0,749;"John Wiley & Sons"
"Journal of Arid Land";4,7;"74.0%
47/179
Earth-Surface Processes";1602;341;74;0,838;0,6;"Science China Press"
"Vision Research";3,7;"66.0%
46/137
Ophthalmology";1602;438;73;0,986;0,602;"Elsevier"
"Inventiones Mathematicae";5,6;"95.0%
19/399
General Mathematics";1602;288;82;3,233;4,321;"Springer Nature"
"Current Opinion in Clinical Nutrition and Metabolic Care";5,3;"75.0%
97/398
Medicine (miscellaneous)";1602;300;83;0,64;0,771;"Wolters Kluwer Health"
"Molecular Informatics";7,3;"80.0%
41/211
Organic Chemistry";1602;219;78;0,623;0,55;"John Wiley & Sons"
"Marine Mammal Science";4,8;"77.0%
165/721
Ecology, Evolution, Behavior and Systematics";1603;336;85;0,845;0,724;"John Wiley & Sons"
"Computer Law and Security Review";5,6;"95.0%
46/1025
Law";1603;286;76;2,157;0,847;"Elsevier"
"Clinical and Experimental Metastasis";7,8;"79.0%
84/404
Oncology";1603;206;88;0,944;1,216;"Springer Nature"
"European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry";4,4;"89.0%
5/43
Dentistry (miscellaneous)";1604;362;72;1,408;0,729;"Springer Nature"
"Saudi Dental Journal";3,6;"61.0%
51/132
General Dentistry";1604;451;67;1,015;0,52;"Elsevier"
"SOCAR Proceedings";3;"65.0%
221/635
Applied Mathematics";1604;527;45;0,91;0,315;"Oil Gas Scientific Research Project Institute"
"Universal Access in the Information Society";6,1;"71.0%
115/395
Computer Networks and Communications";1605;265;86;1,436;0,611;"Springer Nature"
"Marine Life Science and Technology";9,6;"96.0%
10/247
Aquatic Science";1605;167;88;1,385;1,096;"Springer Nature"
"Infectious Disease Clinics of North America";8,3;"80.0%
67/344
Infectious Diseases";1605;194;80;1,85;1,36;"Elsevier"
"International Journal of Antennas and Propagation";3,1;"48.0%
410/797
Electrical and Electronic Engineering";1606;512;70;0,577;0,358;"John Wiley & Sons"
"Indian Journal of Microbiology";6;"56.0%
80/182
Microbiology";1606;269;67;0,679;0,547;"Springer Nature"
"Vascular Medicine";5,7;"76.0%
91/387
Cardiology and Cardiovascular Medicine";1607;281;74;1,093;0,796;"SAGE"
"Biochemistry and Cell Biology";6,3;"58.0%
181/438
Biochemistry";1608;256;81;0,545;0,686;"National Research Council of Canada"
