"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Beitrage zur Mittelalterarchaologie in Osterreich";0,2;"20.0%
327/413
Archeology (arts and humanities)";8;38;13;0,025;0,101;"N/A"
"Working Paper - Chr. Michelsen Institute";0,5;"13.0%
265/306
Development";8;16;19;0;0,102;"Chr. Michelsen Institute"
"Forensic Anthropology";0,2;"12.0%
441/502
Anthropology";8;37;16;0;0,103;"University of Florida Press"
"Revue d'Histoire de l'Amerique Francaise";0,1;"11.0%
1566/1760
History";8;111;5;0,06;0,101;"Institut d histoire de l Amerique francaise"
"Acta Biologica Slovenica";0,2;"3.0%
154/159
Soil Science";8;39;15;0,134;"N/A";"Univerza v Ljubljani"
"Journal of Medical and Dental Sciences";0,3;"16.0%
534/636
General Medicine";8;29;21;0,075;0,124;"Tokyo Medical and Dental University"
"Manufacturing Engineering";0;"6.0%
359/384
Industrial and Manufacturing Engineering";8;479;1;"N/A";0,1;"Society of Manufacturing Engineers"
"Theater";0,1;"24.0%
832/1106
Literature and Literary Theory";8;86;8;0,057;0,108;"Duke University Press"
"Byzantinoslavica";0,3;"44.0%
980/1760
History";8;27;26;"N/A";0,103;"Akademie Ved Ceske Republiky"
"Stahl und Eisen";0;"1.0%
173/176
Metals and Alloys";8;294;1;0,318;0,124;"Verlag Stahleisen GmbH"
"Augustinian Studies";0,3;"41.0%
1037/1760
History";8;30;23;0,682;0,101;"Philosophy Documentation Center"
"Review of High Pressure Science and Technology/Koatsuryoku No Kagaku To Gijutsu";0,1;"3.0%
448/463
General Materials Science";8;94;5;0,002;0,102;"Japan Society of High Pressure Science and Technology"
"Quantitative Finance and Economics";0,3;"7.0%
224/242
Economics, Econometrics and Finance (miscellaneous)";8;32;19;"N/A";"N/A";"American Institute of Mathematical Sciences"
"Galvanotechnik";0;"1.0%
130/132
Surfaces, Coatings and Films";8;676;1;0;0,1;"Eugen G. Leuze Verlag"
"Emergency Medicine International";0,1;"5.0%
104/109
Emergency Medicine";8;56;11;"N/A";"N/A";"John Wiley & Sons"
"Reinardus";0,2;"47.0%
579/1106
Literature and Literary Theory";8;39;13;0,31;0,101;"Alfa"
"Mediterranean Studies";0,2;"23.0%
994/1304
Cultural Studies";8;40;13;0,224;0,116;"Manchester University Press"
"Urban History Review";0,2;"33.0%
1177/1760
History";8;38;11;0,075;0,141;"University of Toronto Press"
"Performance Apparel Markets";0,2;"6.0%
184/196
Materials Science (miscellaneous)";8;34;18;0;0,101;"Textiles Intelligence Ltd."
"Aevum - Rassegna di Scienze Storiche Linguistiche e Filologiche";0,1;"28.0%
787/1106
Literature and Literary Theory";8;72;8;0,018;0,101;"Vita e Pensiero"
"Rivista di Storia della Chiesa in Italia";0,1;"13.0%
1531/1760
History";8;98;7;0,116;0,1;"Vita e Pensiero"
