"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Harvard Review of Psychiatry";7,5;"84.0%
90/567
Psychiatry and Mental Health";1050;140;69;1,249;1,413;"Wolters Kluwer Health"
"Biocell";1,5;"8.0%
261/285
Cell Biology";1050;717;49;0,226;0,231;"Tech Science Press"
"Brazilian Journal of Cardiovascular Surgery";2,1;"52.0%
260/551
Surgery";1050;512;60;0,605;0,346;"Sociedade Brasileira de Cirurgia Cardiovascular"
"Lecture Notes in Information Systems and Organisation";1,4;"28.0%
107/148
Information Systems and Management";1050;750;49;0,229;0,207;"Springer Nature"
"Journal of Applied Genetics";4,3;"43.0%
197/347
Genetics";1050;246;75;0,677;0,501;"Springer Nature"
"Cognitive and Behavioral Practice";4,8;"72.0%
85/311
Clinical Psychology";1050;220;80;0,98;1,034;"Elsevier"
"Atmospheric and Oceanic Optics";2,4;"53.0%
84/179
Earth-Surface Processes";1050;442;66;0,823;0,251;"Pleiades Publishing"
"World Development Perspectives";4,5;"84.0%
228/1466
Sociology and Political Science";1051;231;77;0,996;0,657;"Elsevier"
"Journal of Thermal Engineering";2,4;"48.0%
115/223
Building and Construction";1051;438;61;0,654;0,303;"Yildiz Technical University"
"International Journal of Plant Sciences";4,5;"74.0%
182/721
Ecology, Evolution, Behavior and Systematics";1052;233;71;0,817;0,624;"University of Chicago Press"
"Lighting Research and Technology";5,4;"70.0%
238/797
Electrical and Electronic Engineering";1052;195;84;1,333;0,657;"SAGE"
"Emergencias";4,6;"82.0%
20/109
Emergency Medicine";1052;230;72;0,743;0,589;"Grupo Saned"
"Revista de Neurologia";2,5;"36.0%
253/400
Neurology (clinical)";1052;427;47;0,423;0,308;"Revista de Neurologia"
"Pakistan Journal of Agricultural Sciences";1,8;"40.0%
243/406
Agronomy and Crop Science";1052;588;52;0,321;0,217;"Pakistan Association of Advancement in Agricultural Sciences"
"Iranian Journal of Fuzzy Systems";3,5;"87.0%
49/399
General Mathematics";1053;302;66;0,84;0,433;"University of Sistan and Baluchestan"
"Progress in Quantum Electronics";18,5;"99.0%
1/62
Statistical and Nonlinear Physics";1053;57;91;3,45;2,348;"Elsevier"
"Journal of Chinese Agricultural Mechanization";0,9;"23.0%
148/193
Agricultural and Biological Sciences (miscellaneous)";1053;1173;40;0,323;0,19;"Journal of Chinese Agricultural Mechanization Editorial Office"
"Disasters";5,6;"90.0%
27/275
General Social Sciences";1054;188;80;1,303;0,731;"John Wiley & Sons"
"Aeronautical Journal";3,7;"65.0%
53/153
Aerospace Engineering";1054;284;73;0,952;0,462;"Cambridge University Press"
"Oceanography";6,1;"83.0%
25/145
Oceanography";1054;174;80;1,124;0,94;"Oceanography Society"
"International Journal of Market Research";6;"82.0%
127/716
Economics and Econometrics";1054;175;75;1,251;0,86;"Market Research Society"
"Birth";4,1;"66.0%
70/209
Obstetrics and Gynecology";1056;259;68;1,321;1,127;"John Wiley & Sons"
"Australian Educational Researcher";4,6;"80.0%
306/1543
Education";1056;230;81;2,093;0,972;"Springer Nature"
"Potato Research";5,5;"80.0%
80/406
Agronomy and Crop Science";1056;191;78;1,449;0,56;"Springer Nature"
"Journal of Thermophysics and Heat Transfer";3,5;"62.0%
58/153
Aerospace Engineering";1056;298;73;0,702;0,397;"American Institute of Aeronautics and Astronautics"
"European Journal of Emergency Medicine";3,6;"73.0%
29/109
Emergency Medicine";1057;297;67;0,787;0,585;"Wolters Kluwer Health"
"Agrosystems, Geosciences and Environment";2,6;"63.0%
71/193
Agricultural and Biological Sciences (miscellaneous)";1057;411;64;0,635;0,413;"John Wiley & Sons"
"IMA Fungus";11;"98.0%
4/193
Agricultural and Biological Sciences (miscellaneous)";1057;96;80;2,022;1,376;"Springer Nature"
"American Anthropologist";4,3;"92.0%
36/502
Anthropology";1057;243;72;1,832;0,79;"John Wiley & Sons"
"Pakistan Journal of Biological Sciences";1,9;"42.0%
232/406
Agronomy and Crop Science";1057;549;60;0,343;0,22;"Asian Network for Scientific Information"
"International Journal of Law and Psychiatry";4,7;"94.0%
62/1025
Law";1057;224;71;1,057;0,859;"Elsevier"
"Acta Biochimica Polonica";2,4;"44.0%
124/221
General Biochemistry, Genetics and Molecular Biology";1057;436;60;0,292;0,368;"Frontiers Media S.A."
"Journal of Medicinal and Chemical Sciences";1,8;"59.0%
261/636
General Medicine";1057;587;52;0,526;0,226;"Sami Publishing Company"
"Bulletin du Cancer";1,9;"35.0%
216/333
Radiology, Nuclear Medicine and Imaging";1057;548;55;0,354;0,309;"John Libbey"
"Scandinavian Journal of Surgery";5,5;"88.0%
64/551
Surgery";1058;191;81;1,43;0,772;"SAGE"
"American Journal of Critical Care";4,3;"83.0%
5/27
Critical Care Nursing";1058;248;63;0,989;0,712;"American Association of Critical-Care Nurses"
"Current Urology Reports";4,6;"73.0%
32/120
Urology";1058;231;77;1,323;0,76;"Springer Nature"
"Obstetrics and Gynecology Science";3,8;"64.0%
75/209
Obstetrics and Gynecology";1058;279;71;1,064;0,661;"Korean Society of Obstetrics and Gynecology"
"Soil Ecology Letters";7,1;"88.0%
84/721
Ecology, Evolution, Behavior and Systematics";1058;148;89;0,966;1,345;"Higher Education Press"
"Veterinary Radiology and Ultrasound";2,4;"66.0%
65/194
General Veterinary";1059;435;61;1,123;0,527;"John Wiley & Sons"
"Publications of the Astronomical Society of Australia";5,9;"75.0%
23/90
Astronomy and Astrophysics";1059;179;68;1,058;1,688;"Cambridge University Press"
"BMJ Nutrition, Prevention and Health";5,8;"85.0%
56/371
Health (social science)";1059;182;63;0,898;1,056;"BMJ Publishing Group"
"Feminist Economics";7,5;"97.0%
6/213
Gender Studies";1059;141;72;2,089;1,525;"Taylor & Francis"
