"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"BiD";0,2;"15.0%
238/280
Library and Information Sciences";27;109;17;0,073;0,118;"Universitat de Barcelona"
"Journal of Hydrology New Zealand";1;"19.0%
211/261
Water Science and Technology";27;26;42;0,176;0,218;"New Zealand Hydrological Society"
"Seed Science and Technology";3;"68.0%
37/115
Horticulture";27;9;89;1,02;0,298;"International Seed Testing Association"
"Revista Espanola de Cirugia Oral y Maxilofacial";0,2;"13.0%
107/123
Otorhinolaryngology";27;115;17;0,104;0,131;"Ediciones Ergon SA"
"Mental Illness";1,1;"22.0%
441/567
Psychiatry and Mental Health";27;24;29;0,464;0,388;"John Wiley & Sons"
"Communications in Analysis and Mechanics";0,7;"13.0%
92/106
Geometry and Topology";27;40;23;"N/A";"N/A";"American Institute of Mathematical Sciences"
"Etudes Rurales";0,3;"48.0%
902/1760
History";27;83;20;0,373;0,159;"Editions EHESS: Ecole des Hautes Etudes en Sciences Sociales"
"Revista de Contabilidade e Organizacoes";0,5;"14.0%
1316/1543
Education";27;52;31;0,339;0,174;"Universidade De Sao Paulo"
"Socijalna Psihijatrija";0,5;"8.0%
517/567
Psychiatry and Mental Health";27;59;27;0,347;0,135;"Medicinska Naklada"
"Journal of Hellenic Studies";0,6;"84.0%
165/1106
Literature and Literary Theory";27;46;35;1,172;0,163;"Cambridge University Press"
"Deutsche Sprache";0,4;"43.0%
611/1088
Language and Linguistics";27;66;23;0,235;0,129;"Erich Schmidt Verlag GmbH and Co Berlin"
"Early China";0,8;"90.0%
105/1106
Literature and Literary Theory";27;35;51;1,302;0,238;"Cambridge University Press"
"Finance and Society";0,8;"58.0%
94/223
History and Philosophy of Science";27;33;64;0,599;0,357;"Cambridge University Press"
"ITE Journal (Institute of Transportation Engineers)";1,3;"33.0%
84/125
Automotive Engineering";27;21;43;0,417;0,19;"Institute of Transportation Engineers"
"Journal of General Music Education";0,5;"53.0%
85/180
Music";27;59;31;0,212;0,254;"SAGE"
"Socialism and Democracy";0,5;"22.0%
1130/1466
Sociology and Political Science";27;58;17;0,411;0,125;"Taylor & Francis"
"Studies in Travel Writing";0,4;"74.0%
287/1106
Literature and Literary Theory";27;65;23;0,743;0,101;"Taylor & Francis"
"Advances in Mergers and Acquisitions";1,2;"19.0%
359/443
Business and International Management";27;23;57;0,48;0,174;"Emerald Publishing"
"American Journalism";0,3;"13.0%
440/511
Communication";27;87;20;"N/A";0,119;"Taylor & Francis"
"Erudition and the Republic of Letters";0,6;"69.0%
538/1760
History";27;46;30;0,764;0,101;"Brill"
"Journal of Persianate Studies";0,7;"76.0%
411/1760
History";27;37;41;1,579;0,139;"Brill"
"Journal of Egyptian History";0,8;"78.0%
379/1760
History";27;35;34;0,68;0,135;"Brill"
"Cuneiform Monographs";0,6;"67.0%
579/1760
History";27;49;41;0;0,133;"Brill"
"Christians and Jews in Muslim Societies";0,8;"80.0%
126/644
Religious Studies";27;33;45;"N/A";"N/A";"Brill"
"Palgrave Studies in the History of Social Movements";0,2;"27.0%
1273/1760
History";27;157;15;"N/A";"N/A";"Springer Nature"
