"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Odovtos - International Journal of Dental Sciences";1;"28.0%
95/132
General Dentistry";160;153;36;0,376;0,19;"Universidad de Costa Rica"
"Journal fur Mathematik-Didaktik";2,3;"75.0%
99/399
General Mathematics";160;71;65;0,796;0,461;"Springer Nature"
"Informacije MIDEM";1,8;"34.0%
525/797
Electrical and Electronic Engineering";160;88;58;0,366;0,205;"Society for Microelectronics, Electric Components and Materials"
"Keio Journal of Medicine";3,1;"73.0%
168/636
General Medicine";160;51;63;0,35;0,34;"Keio University School of Medicine"
"Journal of Latin American Studies";1,6;"66.0%
184/552
Arts and Humanities (miscellaneous)";160;101;49;0,59;0,255;"Cambridge University Press"
"Journal of East Asian Studies";1,9;"64.0%
249/706
Political Science and International Relations";160;84;60;0,841;0,425;"Cambridge University Press"
"Disaster and Emergency Medicine Journal";1,4;"65.0%
6/16
Emergency Medical Services";160;114;44;0,265;0,207;"Via Medica"
"Asian Transport Studies";2,1;"36.0%
90/141
Transportation";160;78;63;0,551;0,359;"Elsevier"
"HBRC Journal";2;"75.0%
47/189
Architecture";160;82;48;0,65;0,272;"Taylor & Francis"
"Journal of Coloproctology";0,6;"20.0%
133/167
Gastroenterology";160;259;29;0,215;0,139;"Thieme"
"South Asian Journal of Business and Management Cases";1,7;"31.0%
304/443
Business and International Management";160;95;46;0,546;0,234;"SAGE"
"European Journal of Economics and Economic Policies: Intervention";1,7;"39.0%
191/317
Finance";160;96;58;0,628;0,295;"Edward Elgar Publishing Ltd."
"Middle Eastern Studies";0,7;"72.0%
478/1760
History";160;246;36;"N/A";0,195;"Taylor & Francis"
"Babel";1;"69.0%
337/1088
Language and Linguistics";160;158;42;0,642;0,34;"Babel-Verlag"
"Education and Treatment of Children";1,7;"44.0%
859/1543
Education";160;93;62;0,787;0,403;"West Virginia University Press"
"Journal of Krishna Institute of Medical Sciences University";0,7;"35.0%
409/636
General Medicine";160;229;35;0,283;0,164;"Krishna Institute of Medical Sciences University"
"Watershed Ecology and the Environment";3;"58.0%
192/461
Ecology";160;53;62;0,735;0,488;"KeAi Communications Co."
"China Economic Quarterly International";2,2;"66.0%
204/604
Social Sciences (miscellaneous)";160;73;64;0,899;0,595;"KeAi Communications Co."
"Bulletin for International Taxation";0,6;"39.0%
617/1025
Law";160;248;32;0,353;0,159;"International Bureau of Fiscal Documentation (IBFD)"
"Rural Educator";2;"49.0%
783/1543
Education";160;80;51;1,219;0,543;"National Rural Education Association"
"Verbum Vitae";0,7;"75.0%
160/644
Religious Studies";160;233;43;0,441;0,224;"John Paul II Catholic University of Lublin Faculty of Theology"
"mLife";2,3;"21.0%
143/182
Microbiology";160;71;70;0,704;0,927;"John Wiley & Sons"
"Behavioral Research in Accounting";3,7;"55.0%
103/230
Organizational Behavior and Human Resource Management";161;44;57;1,249;0,931;"American Accounting Association"
"Geografie-Sbornik CGS";2,2;"52.0%
392/821
Geography, Planning and Development";161;74;61;0,72;0,279;"Ceska Geograficka Spolecnost"
"Inter-Asia Cultural Studies";0,9;"70.0%
387/1304
Cultural Studies";161;183;34;0,737;0,297;"Taylor & Francis"
"HTM - Journal of Heat Treatment and Materials";1,5;"43.0%
100/176
Metals and Alloys";161;105;50;0,614;0,268;"Walter de Gruyter"
"Medizinische Genetik";1,4;"16.0%
83/99
Genetics (clinical)";161;118;53;0,31;0,234;"Walter de Gruyter"
"Gastrointestinal Nursing";0,7;"25.0%
20/26
Medical and Surgical Nursing";161;239;28;0,171;0,155;"MA Healthcare Ltd"
"Journal of Teaching in Social Work";1,2;"49.0%
746/1466
Sociology and Political Science";161;133;52;0,709;0,35;"Taylor & Francis"
"Applied General Topology";1,2;"47.0%
56/106
Geometry and Topology";161;132;42;0,761;0,361;"Universidad Politecnica de Valencia"
"Annals of Library and Information Studies";1,6;"54.0%
127/280
Library and Information Sciences";161;103;51;0,31;0,19;"National Institute of Science Communication and Information Resources (NISCAIR)"
"Semiconductors and Semimetals";1,6;"46.0%
95/176
Metals and Alloys";161;98;48;"N/A";"N/A";"Elsevier"
"Acta Ethologica";1,9;"47.0%
256/490
Animal Science and Zoology";161;83;60;0,57;0,306;"Springer Nature"
"Journal of Health Science and Medical Research";0,6;"34.0%
419/636
General Medicine";161;251;29;0,244;0,154;"Prince of Songkla University"
"South African Journal of Radiology";1,2;"26.0%
245/333
Radiology, Nuclear Medicine and Imaging";161;134;43;0,476;0,199;"OpenJournals Publishing AOSIS (Pty) Ltd"
"SAE International Journal of Fuels and Lubricants";2,2;"41.0%
76/128
Fuel Technology";161;73;52;0,678;0,312;"SAE"
"Brazilian Journal of Veterinary Research and Animal Science";1;"33.0%
130/194
General Veterinary";161;155;45;0,4;0,211;"Faculdade de Medicina Veterinaria e Zootecnia, USP"
"Blood Science";1,7;"26.0%
101/137
Hematology";161;97;57;0,259;0,421;"Wolters Kluwer Health"
