"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Computational Toxicology";5,5;"65.0%
284/817
Computer Science Applications";880;160;81;0,886;0,616;"Elsevier"
"Journal of Child and Adolescent Trauma";3;"70.0%
33/109
Emergency Medicine";880;292;64;0,876;0,749;"Springer Nature"
"Knowledge and Process Management";7,1;"77.0%
109/478
Strategy and Management";881;124;78;1,239;0,839;"John Wiley & Sons"
"IET Energy Systems Integration";5,9;"81.0%
39/204
Engineering (miscellaneous)";881;150;76;0,761;0,668;"John Wiley & Sons"
"BJA Education";3,5;"63.0%
50/136
Anesthesiology and Pain Medicine";881;252;71;1,338;0,582;"Elsevier"
"International Journal for Quality Research";2,7;"54.0%
177/384
Industrial and Manufacturing Engineering";881;324;59;0,63;0,332;"University of Montenegro"
"Applied Biochemistry and Microbiology";1,7;"23.0%
98/127
Applied Microbiology and Biotechnology";881;505;56;0,383;0,244;"Pleiades Publishing"
"Journal of Genetics";3,1;"26.0%
255/347
Genetics";881;282;64;0,524;0,392;"Springer Nature"
"Journal of Early Adolescence";4,5;"88.0%
72/604
Social Sciences (miscellaneous)";882;195;79;1,096;0,867;"SAGE"
"Career Development International";5,4;"92.0%
47/604
Social Sciences (miscellaneous)";882;163;76;1,572;1,201;"Emerald Publishing"
"Professional Geographer";3,3;"66.0%
273/821
Geography, Planning and Development";883;266;67;0,797;0,591;"Taylor & Francis"
"Frontiers in Research Metrics and Analytics";3,5;"80.0%
121/604
Social Sciences (miscellaneous)";883;255;62;0,811;"N/A";"Frontiers Media S.A."
"AIMS Agriculture and Food";3,7;"76.0%
45/193
Agricultural and Biological Sciences (miscellaneous)";883;236;69;0,772;0,409;"AIMS Press"
"World Medical and Health Policy";7,1;"88.0%
36/310
Health Policy";883;125;63;0,806;0,966;"John Wiley & Sons"
"Neuromorphic Computing and Engineering";5,9;"72.0%
217/797
Electrical and Electronic Engineering";884;150;77;1,535;1,366;"Institute of Physics Publishing"
"China Ocean Engineering";2,7;"52.0%
70/145
Oceanography";884;330;63;0,691;0,427;"Springer Publishing Company"
"Journal of Psychopathology and Behavioral Assessment";2,7;"50.0%
155/311
Clinical Psychology";884;327;66;0,737;0,69;"Springer Nature"
"Energy and Climate Change";7,9;"87.0%
27/219
Environmental Science (miscellaneous)";884;112;84;1,274;1,39;"Elsevier"
"Gongneng Cailiao/Journal of Functional Materials";0,6;"11.0%
280/317
Materials Chemistry";884;1473;35;0,163;0,136;"Journal of Functional Materials"
"Public Health Reviews";8,3;"98.0%
1/40
Community and Home Care";884;107;65;2,198;1,712;"Frontiers Media S.A."
"Advanced Sciences and Technologies for Security Applications";1,1;"49.0%
355/706
Political Science and International Relations";884;777;39;0;0,133;"Springer Nature"
"Journal of Communications Technology and Electronics";1;"23.0%
45/58
Radiation";884;852;39;0,468;0,222;"Pleiades Publishing"
"Journal of Vascular Surgery Cases, Innovations and Techniques";1;"36.0%
351/551
Surgery";884;852;39;0,47;0,238;"Society for Vascular Surgery"
"Respirology Case Reports";1,4;"22.0%
121/155
Pulmonary and Respiratory Medicine";885;636;44;0,402;0,269;"John Wiley & Sons"
"Advanced Composite Materials";5;"72.0%
185/672
Mechanical Engineering";885;178;80;0,955;0,502;"Taylor & Francis"
"Geotechnical Testing Journal";3,1;"55.0%
102/229
Geotechnical Engineering and Engineering Geology";885;285;74;0,769;0,547;"American Society for Testing and Materials"
"Comparative Education";7,4;"92.0%
114/1543
Education";885;120;93;2,904;1,692;"Taylor & Francis"
"AIMS Energy";3,8;"57.0%
115/272
Energy Engineering and Power Technology";885;230;70;0,615;0,406;"AIMS Press"
"Journal of Tourism and Cultural Change";5,1;"97.0%
34/1304
Cultural Studies";886;175;83;1,237;0,725;"Taylor & Francis"
"Russian Journal of Electrochemistry";1,9;"15.0%
51/60
Electrochemistry";886;457;55;0,374;0,24;"Pleiades Publishing"
"Journal of Phytopathology";2,9;"58.0%
217/516
Plant Science";887;310;63;0,651;0,37;"John Wiley & Sons"
"Medicina del Lavoro";4,7;"69.0%
203/665
Public Health, Environmental and Occupational Health";887;187;74;0,879;0,744;"Mattioli 1885"
"Perspectives in Public Health";4,5;"67.0%
215/665
Public Health, Environmental and Occupational Health";887;195;61;0,727;0,698;"SAGE"
"Cancer Nanotechnology";5,2;"63.0%
68/183
Pharmaceutical Science";887;172;72;0,723;0,671;"Springer Nature"
"Hematology, Transfusion and Cell Therapy";2,4;"35.0%
89/137
Hematology";887;371;61;0,565;0,376;"Elsevier"
"International Journal of Industrial Engineering Computations";5,7;"73.0%
101/384
Industrial and Manufacturing Engineering";887;156;76;1,389;0,56;"Growing Science"
"Bylye Gody";1,2;"87.0%
213/1760
History";887;770;38;0,994;0,219;"Cherkas Global University Press"
"Endokrynologia Polska";2,6;"33.0%
162/244
Endocrinology, Diabetes and Metabolism";888;342;59;0,548;0,395;"Via Medica"
"Scientific Horizons";1,5;"49.0%
123/242
Economics, Econometrics and Finance (miscellaneous)";888;594;54;0,339;0,152;"Polissia National University"
"Advances in Biochemical Engineering/Biotechnology";5,7;"59.0%
125/311
Biotechnology";888;156;80;"N/A";0,346;"Springer Nature"
"Egyptian Journal of Medical Human Genetics";2,2;"22.0%
77/99
Genetics (clinical)";888;406;59;0,393;0,362;"Springer Nature"
"Gastrointestinal Endoscopy Clinics of North America";4,3;"52.0%
79/167
Gastroenterology";888;208;65;0,844;0,619;"Elsevier"
"Journal of Curriculum Studies";4,7;"80.0%
294/1543
Education";889;189;74;2,019;0,962;"Taylor & Francis"
"Italian Journal of Dermatology and Venereology";3,1;"59.0%
58/142
Dermatology";889;290;66;0,552;0,443;"Edizioni Minerva Medica"
