"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Revista Mexicana de Sociologia";0,7;"35.0%
940/1466
Sociology and Political Science";135;182;29;0,487;0,18;"Universidad Nacional Autonoma de Mexico"
"Shiyou Huagong Gaodeng Xuexiao Xuebao/Journal of Petrochemical Universities";0,5;"14.0%
110/128
Fuel Technology";135;296;30;0,227;0,135;"Fushun Petroleum Institute"
"Management Teaching Review";1,3;"35.0%
1001/1543
Education";135;106;48;0,85;0,276;"SAGE"
"Scandinavian Journal of History";1,1;"87.0%
229/1760
History";135;123;50;1,001;0,22;"Taylor & Francis"
"Advances in Chemical Pollution, Environmental Management and Protection";2,8;"66.0%
66/193
Agricultural and Biological Sciences (miscellaneous)";135;49;61;"N/A";"N/A";"Elsevier"
"Contemporary Physics";2,9;"54.0%
111/243
General Physics and Astronomy";135;46;46;0,907;0,709;"Taylor & Francis"
"Biostatistics and Epidemiology";1,8;"33.0%
99/148
Epidemiology";135;75;39;0,343;0,265;"Taylor & Francis"
"Journal of Policing, Intelligence and Counter Terrorism";2;"76.0%
244/1025
Law";135;66;62;0,874;0,256;"Taylor & Francis"
"Fly";2,9;"68.0%
58/181
Insect Science";135;46;85;0,506;0,588;"Taylor & Francis"
"Palgrave Studies of Cross-Disciplinary Business Research, in Association with EuroMed Academy of Business";1,6;"30.0%
161/230
Organizational Behavior and Human Resource Management";135;82;51;"N/A";"N/A";"Springer Nature"
"New Perspectives";1,5;"58.0%
292/706
Political Science and International Relations";135;88;51;0,777;0,242;"Institute of International Relations"
"Journal of Cetacean Research and Management";1,5;"36.0%
313/490
Animal Science and Zoology";135;91;51;0,294;0,244;"International Whaling Commission"
"Journal of Southeast University (English Edition)";0,6;"13.0%
267/307
General Engineering";135;221;34;0,172;0,148;"Southeast University"
"Emerging Themes in Epidemiology";4,4;"55.0%
67/148
Epidemiology";135;31;81;1,154;1,091;"Springer Nature"
"Newspaper Research Journal";1,4;"50.0%
251/511
Communication";135;96;54;0,556;0,305;"SAGE"
"Air and Space Law";0,8;"47.0%
540/1025
Law";135;159;38;0,718;0,267;"Kluwer Law International"
"Revista Brasileira de Ciencias Sociais";0,9;"41.0%
162/275
General Social Sciences";135;151;36;1,013;0,264;"Associacao Nacional de Pos-Graduacao e Pesquisa em Ciencias Sociais - ANPOCS"
"Acta Gymnica";2;"45.0%
135/247
Physical Therapy, Sports Therapy and Rehabilitation";135;67;64;0,473;0,328;"Palacky University"
"Current Nanomaterials";1,6;"37.0%
123/196
Materials Science (miscellaneous)";135;83;60;0,207;0,172;"Bentham Science Publishers"
"Acque Sotterranee - Italian Journal of Groundwater";1,8;"42.0%
96/165
Geophysics";135;77;75;0,428;0,238;"PagePress"
"Bulletin of the Transilvania University of Brasov, Series II: Forestry, Wood Industry, Agricultural Food Engineering";1,1;"29.0%
124/174
Forestry";135;123;35;0,186;0,149;"Transilvania University Press"
"Style";1,3;"96.0%
44/1106
Literature and Literary Theory";135;104;41;0,721;0,149;"Northern Illinois University, Department of English"
"Journal of Psychology and Theology";1,2;"89.0%
70/644
Religious Studies";135;115;48;0,627;0,262;"Rosemead School of Psychology"
"Journal of Globalization Studies";1,7;"60.0%
279/706
Political Science and International Relations";135;81;56;0,589;0,277;"Uchitel Publishing House"
"Vestnik Sankt-Peterburgskogo Universiteta. Ekonomika";1,3;"44.0%
159/288
General Economics, Econometrics and Finance";135;104;44;0,889;0,249;"Saint Petersburg State University"
"Feminist Legal Studies";2,9;"75.0%
53/213
Gender Studies";135;46;67;1,354;0,435;"Springer Nature"
